activity_id,customer_id,activity_timestamp,activity_type,device_id,ip_address
A00000001,C05574,2026-02-11 15:49:31,Product View,D000323,IP004647
A00000002,C02021,2025-03-25 05:04:13,Search,D002387,IP005942
A00000003,C03842,2025-11-20 12:36:51,Product View,D009148,IP002504
A00000004,C01893,2025-01-25 20:37:07,Add to Cart,D009429,IP003585
A00000005,C00808,2025-02-06 06:46:52,Add to Cart,D008922,IP002701
A00000006,C04952,2025-04-16 05:46:53,Search,D009369,IP005359
A00000007,C03202,2026-05-15 23:08:55,Login,D001641,IP003649
A00000008,C03223,2026-04-03 16:44:22,Product View,D000278,IP005647
A00000009,C02201,2026-03-08 09:58:14,Login,D006565,IP000099
A00000010,C06863,2025-08-30 02:37:32,Wishlist,D002134,IP004148
A00000011,C01375,2025-09-08 04:47:30,Add to Cart,D005246,IP005948
A00000012,C04908,2026-03-21 20:43:56,Search,D004389,IP003123
A00000013,C04920,2025-01-23 00:47:00,Login,D001007,IP002497
A00000014,C04790,2025-05-14 08:14:49,Login,D005299,IP006043
A00000015,C02504,2025-01-21 17:19:41,Search,D008307,IP004540
A00000016,C01177,2025-07-17 15:29:06,Checkout,D004582,IP000934
A00000017,C05218,2025-04-19 06:12:32,Search,D001651,IP002428
A00000018,C01282,2026-06-12 01:33:46,Product View,D005092,IP006914
A00000019,C04778,2026-02-21 05:38:21,Product View,D008591,IP003584
A00000020,C05231,2026-05-23 21:33:09,Product View,D005911,IP003382
A00000021,C00498,2025-01-28 11:50:55,Product View,D003472,IP002581
A00000022,C03001,2025-08-09 01:13:29,Search,D007405,IP001423
A00000023,C00055,2026-01-26 07:18:07,Search,D001065,IP001299
A00000024,C06167,2025-09-15 15:55:41,Add to Cart,D005317,IP006684
A00000025,C06612,2026-08-04 09:42:44,Login,D003592,IP004883
A00000026,C01940,2026-06-26 14:10:41,Product View,D004086,IP004272
A00000027,C02024,2025-09-30 00:12:56,Add to Cart,D000949,IP003631
A00000028,C07619,2025-02-08 13:34:07,Product View,D006713,IP002520
A00000029,C01009,2025-05-21 22:00:23,Add to Cart,D003512,IP003381
A00000030,C03357,2025-08-01 05:47:56,Product View,D004242,IP006873
A00000031,C02352,2025-12-19 19:57:50,Search,D009295,IP001325
A00000032,C04901,2025-12-05 14:14:24,Add to Cart,D008658,IP001799
A00000033,C05853,2026-05-13 01:52:54,Search,D003462,IP000597
A00000034,C02731,2026-02-17 08:46:58,Product View,D002925,IP006151
A00000035,C07301,2026-07-16 00:28:18,Search,D008965,IP001705
A00000036,C00960,2026-03-14 20:48:18,Product View,D001839,IP004136
A00000037,C07727,2026-04-21 20:24:34,Wishlist,D004776,IP006081
A00000038,C02808,2026-08-04 06:22:28,Login,D009793,IP001689
A00000039,C05836,2025-03-05 13:36:25,Product View,D003712,IP006502
A00000040,C07532,2026-02-07 02:14:36,Search,D009057,IP002817
A00000041,C06697,2026-02-14 21:48:36,Product View,D009869,IP000163
A00000042,C07790,2025-02-18 02:31:51,Product View,D006569,IP005258
A00000043,C01786,2025-06-26 11:25:03,Product View,D000131,IP006658
A00000044,C06418,2025-12-31 07:53:05,Product View,D007348,IP004923
A00000045,C03220,2026-05-07 03:35:53,Product View,D007555,IP004996
A00000046,C00941,2026-06-07 19:16:13,Search,D000151,IP003782
A00000047,C01001,2026-01-24 09:45:50,Search,D006168,IP005977
A00000048,C04955,2025-01-19 04:31:17,Wishlist,D005987,IP005115
A00000049,C07965,2026-08-26 17:38:40,Search,D009788,IP004169
A00000050,C00700,2025-08-25 20:41:03,Checkout,D003283,IP000058
A00000051,C02765,2025-09-12 13:02:22,Product View,D000718,IP003123
A00000052,C05683,2026-06-11 06:21:11,Product View,D006545,IP003529
A00000053,C07799,2025-12-26 08:42:15,Product View,D007736,IP000066
A00000054,C03213,2026-01-14 02:50:12,Search,D003035,IP006985
A00000055,C00365,2025-05-08 10:32:13,Product View,D002041,IP000588
A00000056,C07065,2026-08-24 21:07:28,Product View,D001679,IP003171
A00000057,C03136,2025-09-18 10:19:00,Product View,D004692,IP005619
A00000058,C05648,2025-04-19 07:28:31,Search,D008972,IP005738
A00000059,C04783,2025-06-19 15:32:55,Login,D000059,IP004045
A00000060,C00341,2026-03-06 05:51:49,Product View,D000855,IP006117
A00000061,C01663,2026-03-25 18:54:19,Login,D009118,IP003715
A00000062,C03221,2025-07-30 22:10:20,Search,D005874,IP001573
A00000063,C03151,2026-02-06 16:38:43,Search,D004203,IP005842
A00000064,C02931,2025-03-25 20:48:31,Add to Cart,D001487,IP004705
A00000065,C05438,2026-08-17 00:17:53,Product View,D003187,IP003155
A00000066,C01204,2025-12-20 02:27:10,Add to Cart,D003166,IP002919
A00000067,C04908,2026-02-04 14:21:47,Add to Cart,D004389,IP003123
A00000068,C00875,2025-11-26 10:59:18,Product View,D002571,IP005803
A00000069,C00270,2025-08-16 11:31:24,Search,D003737,IP004527
A00000070,C04524,2025-04-21 15:53:00,Wishlist,D003561,IP000196
A00000071,C02192,2026-07-02 14:28:12,Login,D001598,IP006473
A00000072,C06185,2025-01-29 09:17:21,Product View,D005256,IP003526
A00000073,C01664,2025-04-19 08:23:51,Checkout,D005640,IP005341
A00000074,C00422,2025-01-27 08:38:26,Search,D004705,IP004863
A00000075,C01953,2025-10-02 03:19:33,Search,D002185,IP001866
A00000076,C00505,2025-09-06 05:03:46,Checkout,D005508,IP000733
A00000077,C03638,2025-05-12 15:34:15,Product View,D008981,IP004372
A00000078,C03715,2025-04-25 06:56:45,Add to Cart,D006543,IP001814
A00000079,C01243,2025-09-11 13:07:47,Checkout,D007804,IP006967
A00000080,C04321,2026-01-07 17:06:34,Login,D002081,IP003252
A00000081,C07202,2025-03-04 19:58:48,Product View,D007695,IP004045
A00000082,C04607,2025-03-22 02:25:18,Search,D009086,IP004320
A00000083,C05271,2026-07-11 01:37:07,Search,D006037,IP006971
A00000084,C06571,2025-08-31 11:30:27,Login,D004691,IP004892
A00000085,C00763,2026-08-12 02:36:41,Search,D008740,IP003372
A00000086,C07371,2026-04-12 19:25:51,Checkout,D008792,IP005031
A00000087,C01436,2025-02-13 21:45:28,Search,D003652,IP000604
A00000088,C02026,2026-03-26 12:33:16,Search,D006981,IP004460
A00000089,C00522,2025-08-19 11:09:24,Product View,D007941,IP000635
A00000090,C02353,2025-08-01 00:18:16,Product View,D008222,IP001414
A00000091,C00770,2025-05-27 11:59:04,Product View,D008559,IP000194
A00000092,C00819,2025-04-25 07:14:45,Product View,D005239,IP003679
A00000093,C07887,2026-06-23 03:09:46,Add to Cart,D004623,IP000776
A00000094,C03246,2025-01-24 10:51:48,Search,D001547,IP004555
A00000095,C00326,2025-08-14 00:03:04,Wishlist,D004774,IP004346
A00000096,C01969,2025-07-29 15:29:24,Product View,D008363,IP004761
A00000097,C07320,2026-08-20 11:41:12,Login,D009430,IP006022
A00000098,C06398,2025-06-16 00:10:20,Product View,D000319,IP001497
A00000099,C03797,2025-02-15 05:08:25,Login,D008318,IP004740
A00000100,C01747,2025-10-18 18:52:38,Wishlist,D006920,IP002869
A00000101,C04770,2025-05-27 11:33:38,Product View,D006514,IP003680
A00000102,C06192,2025-06-16 04:25:20,Search,D005776,IP003869
A00000103,C06805,2025-04-11 14:38:30,Login,D000379,IP005726
A00000104,C05196,2026-04-17 14:51:43,Product View,D003960,IP000203
A00000105,C03515,2026-03-21 05:09:36,Add to Cart,D001799,IP003316
A00000106,C04026,2025-11-05 12:14:07,Add to Cart,D000846,IP004732
A00000107,C04952,2026-01-23 06:24:40,Login,D009369,IP005359
A00000108,C02465,2025-02-27 21:44:29,Checkout,D009238,IP001336
A00000109,C05690,2025-03-20 10:41:17,Product View,D004996,IP005842
A00000110,C03021,2025-08-31 01:04:06,Product View,D007877,IP006250
A00000111,C02547,2025-08-09 21:10:24,Login,D008635,IP006270
A00000112,C05404,2025-11-11 03:09:03,Product View,D008715,IP000738
A00000113,C04475,2025-01-29 14:43:41,Product View,D001361,IP006823
A00000114,C01777,2025-03-08 12:29:26,Search,D007748,IP003900
A00000115,C02345,2025-12-25 04:56:54,Search,D009603,IP002153
A00000116,C04988,2025-05-21 11:38:00,Checkout,D007785,IP002449
A00000117,C00478,2025-01-14 17:01:01,Wishlist,D009799,IP004495
A00000118,C04729,2025-11-29 08:02:13,Product View,D001856,IP006572
A00000119,C07385,2026-02-15 08:37:00,Wishlist,D005352,IP005748
A00000120,C04552,2025-04-28 04:52:25,Checkout,D005230,IP000067
A00000121,C07568,2025-01-13 15:06:09,Wishlist,D002456,IP006514
A00000122,C00379,2026-08-05 12:59:38,Product View,D005931,IP005256
A00000123,C01574,2025-08-17 07:13:00,Search,D009291,IP003533
A00000124,C04563,2025-10-20 22:50:02,Product View,D000843,IP004378
A00000125,C06788,2025-10-30 11:30:04,Search,D003976,IP002328
A00000126,C03905,2025-05-13 09:34:01,Checkout,D002357,IP002867
A00000127,C01496,2026-08-24 04:39:36,Add to Cart,D002130,IP006006
A00000128,C02460,2025-06-01 11:00:41,Login,D008297,IP002927
