order_id,customer_id,order_timestamp,order_amount,device_id,ip_address,payment_attempts,payment_failed,country_mismatch,is_fraud,fraud_reason
O0000001,C02347,2025-09-28 08:20:33,498.04,D001103,IP005923,1,0,0,0,Normal
O0000002,C03729,2025-08-26 02:59:31,230.16,D009664,IP000768,1,0,0,0,Normal
O0000003,C06602,2026-04-14 18:24:50,193.46,D008029,IP005834,1,0,0,0,Normal
O0000004,C05175,2025-02-06 17:58:44,287.58,D005727,IP002646,1,0,0,0,Normal
O0000005,C02883,2025-07-29 03:43:28,288.86,D006320,IP004703,1,0,0,0,Normal
O0000006,C04125,2026-01-25 11:14:18,123.39,D005353,IP003951,1,0,0,0,Normal
O0000007,C07969,2026-04-30 13:04:03,144.88,D002715,IP002940,2,0,0,0,Normal
O0000008,C05952,2025-02-23 18:49:51,35.71,D005799,IP002160,1,0,0,0,Normal
O0000009,C04938,2025-01-24 10:25:04,17.58,D005344,IP000745,1,0,0,0,Normal
O0000010,C06641,2025-09-18 16:30:39,121.5,D007305,IP005920,1,0,0,0,Normal
O0000011,C03554,2025-04-23 22:50:20,12.13,D001095,IP004753,1,0,0,0,Normal
O0000012,C07621,2025-08-30 21:54:10,302.4,D009759,IP004020,1,0,0,0,Normal
O0000013,C04443,2026-04-02 16:16:44,244.55,D002474,IP001568,1,0,0,0,Normal
O0000014,C02618,2025-08-20 09:40:19,44.68,D004896,IP000535,1,0,0,0,Normal
O0000015,C00696,2026-06-16 17:18:41,66.12,D004401,IP005042,2,0,0,0,Normal
O0000016,C03012,2026-07-31 03:28:09,67.28,D000496,IP002515,1,0,0,0,Normal
O0000017,C04578,2025-02-01 10:33:38,16.21,D001412,IP001361,1,0,0,0,Normal
O0000018,C05643,2026-02-04 22:04:38,125.58,D005003,IP002968,1,0,0,1,Normal
O0000019,C07023,2025-08-29 18:40:49,205.76,D000175,IP005468,1,0,0,0,Normal
O0000020,C07572,2026-05-23 02:37:51,124.79,D004991,IP006143,1,0,0,0,Normal
O0000021,C00829,2025-02-10 17:22:07,87.88,D006046,IP004738,1,0,0,0,Normal
O0000022,C04838,2026-04-03 11:57:28,359.16,D009679,IP006311,1,0,0,1,Normal
O0000023,C05366,2025-01-09 16:46:44,119.6,D003294,IP000932,1,0,0,0,Normal
O0000024,C01381,2026-08-20 03:09:34,268.01,D009342,IP005632,1,0,0,1,Normal
O0000025,C04400,2025-06-12 17:54:37,632.96,D007401,IP001772,1,0,0,0,Normal
O0000026,C02678,2026-04-26 07:18:26,276.97,D002695,IP005968,1,0,0,0,Normal
O0000027,C00631,2026-07-19 14:19:23,104.85,D008474,IP000563,1,0,0,0,Normal
O0000028,C00542,2026-02-15 05:15:56,112.76,D004594,IP004852,1,0,0,0,Normal
O0000029,C06089,2026-07-11 04:10:14,36.1,D007041,IP003888,1,0,0,0,Normal
O0000030,C04949,2026-01-10 08:02:56,125.35,D008413,IP001891,1,0,0,1,Normal
O0000031,C05737,2025-12-12 17:14:39,193.47,D003300,IP004649,1,0,0,0,Normal
O0000032,C05501,2025-01-10 10:29:48,250.39,D001122,IP001371,1,0,0,0,Normal
O0000033,C01084,2026-02-13 09:49:58,20.9,D003575,IP005499,1,0,0,0,Normal
O0000034,C01216,2025-07-07 09:47:15,37.56,D009661,IP000388,1,0,0,0,Normal
O0000035,C02019,2025-12-14 17:03:58,18.96,D004291,IP000948,1,0,0,0,Normal
O0000036,C03201,2025-08-10 06:40:34,118.68,D008116,IP006859,1,0,0,0,Normal
O0000037,C07530,2026-08-03 05:33:10,286.3,D000584,IP001002,1,0,0,0,Normal
O0000038,C05416,2025-07-01 00:21:26,76.65,D002437,IP004712,1,0,0,0,Normal
O0000039,C02044,2025-03-09 09:08:59,46.17,D000690,IP004302,1,0,0,0,Normal
O0000040,C00464,2025-09-07 12:04:25,133.83,D003429,IP001280,1,0,0,0,Normal
O0000041,C05490,2025-11-21 13:41:37,29.59,D005225,IP004766,1,0,0,0,Normal
O0000042,C05028,2026-07-13 01:29:12,15.54,D003651,IP002779,1,0,0,0,Normal
O0000043,C05427,2025-03-09 22:32:01,92.29,D006303,IP000533,1,0,0,0,Normal
O0000044,C02095,2025-12-09 06:28:45,353.9,D002420,IP004792,1,0,0,0,Normal
O0000045,C04166,2025-09-05 11:39:11,154.13,D002595,IP003433,1,0,0,0,Normal
