order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_amount
OI00000001,O0000001,P01843,1,207.88,0.0,207.88
OI00000002,O0000001,P01683,2,14.13,0.0,28.26
OI00000003,O0000001,P01362,1,275.68,0.05,261.9
OI00000004,O0000002,P01527,4,53.94,0.0,215.76
OI00000005,O0000002,P00670,2,7.2,0.0,14.4
OI00000006,O0000003,P01351,2,40.97,0.0,81.94
OI00000007,O0000003,P01104,3,31.73,0.0,95.19
OI00000008,O0000003,P00754,1,16.33,0.0,16.33
OI00000009,O0000004,P00774,2,127.77,0.0,255.54
OI00000010,O0000004,P00526,1,32.04,0.0,32.04
OI00000011,O0000005,P00552,2,84.91,0.0,169.82
OI00000012,O0000005,P01269,2,74.4,0.2,119.04
OI00000013,O0000006,P00795,1,40.73,0.0,40.73
OI00000014,O0000006,P00115,1,28.4,0.0,28.4
OI00000015,O0000006,P01609,1,60.29,0.1,54.26
OI00000016,O0000007,P01510,2,67.68,0.0,135.36
OI00000017,O0000007,P00870,1,9.52,0.0,9.52
OI00000018,O0000008,P01121,1,37.59,0.05,35.71
OI00000019,O0000009,P00578,1,18.51,0.05,17.58
OI00000020,O0000010,P00142,3,40.5,0.0,121.5
OI00000021,O0000011,P01924,2,7.58,0.2,12.13
OI00000022,O0000012,P00534,3,100.8,0.0,302.4
OI00000023,O0000013,P00129,5,9.31,0.0,46.55
OI00000024,O0000013,P01298,1,198.0,0.0,198.0
OI00000025,O0000014,P01619,3,16.38,0.2,39.31
OI00000026,O0000014,P00143,1,6.32,0.15,5.37
OI00000027,O0000015,P00541,1,69.6,0.05,66.12
OI00000028,O0000016,P00924,3,24.92,0.1,67.28
OI00000029,O0000017,P00902,1,18.01,0.1,16.21
OI00000030,O0000018,P00516,2,62.79,0.0,125.58
OI00000031,O0000019,P01207,1,205.76,0.0,205.76
OI00000032,O0000020,P00715,3,14.13,0.0,42.39
OI00000033,O0000020,P01643,2,41.2,0.0,82.4
OI00000034,O0000021,P01061,1,31.11,0.0,31.11
OI00000035,O0000021,P00158,2,31.54,0.1,56.77
OI00000036,O0000022,P01785,2,179.58,0.0,359.16
OI00000037,O0000023,P00399,4,23.1,0.0,92.4
OI00000038,O0000023,P01150,1,27.2,0.0,27.2
OI00000039,O0000024,P00917,2,82.03,0.2,131.25
OI00000040,O0000024,P00604,2,57.33,0.0,114.66
OI00000041,O0000024,P01310,1,22.1,0.0,22.1
OI00000042,O0000025,P00682,4,90.29,0.0,361.16
OI00000043,O0000025,P01422,4,67.95,0.0,271.8
OI00000044,O0000026,P01719,3,51.39,0.0,154.17
OI00000045,O0000026,P00293,4,30.7,0.0,122.8
OI00000046,O0000027,P00088,1,24.15,0.0,24.15
OI00000047,O0000027,P01397,1,80.7,0.0,80.7
OI00000048,O0000028,P01550,1,24.26,0.0,24.26
OI00000049,O0000028,P00171,5,17.7,0.0,88.5
OI00000050,O0000029,P00203,2,19.0,0.05,36.1
OI00000051,O0000030,P01722,1,46.59,0.05,44.26
OI00000052,O0000030,P01589,2,45.05,0.1,81.09
OI00000053,O0000031,P00693,2,39.15,0.0,78.3
OI00000054,O0000031,P01454,3,38.39,0.0,115.17
OI00000055,O0000032,P01289,3,62.27,0.0,186.81
OI00000056,O0000032,P01890,2,31.79,0.0,63.58
OI00000057,O0000033,P01253,1,26.12,0.2,20.9
OI00000058,O0000034,P00138,1,37.56,0.0,37.56
OI00000059,O0000035,P00143,3,6.32,0.0,18.96
OI00000060,O0000036,P01919,2,59.34,0.0,118.68
OI00000061,O0000037,P01353,2,143.15,0.0,286.3
OI00000062,O0000038,P00339,1,44.07,0.0,44.07
OI00000063,O0000038,P00795,1,40.73,0.2,32.58
OI00000064,O0000039,P00226,1,44.96,0.1,40.46
OI00000065,O0000039,P01771,1,7.14,0.2,5.71
OI00000066,O0000040,P00852,2,42.36,0.05,80.48
OI00000067,O0000040,P01277,1,59.28,0.1,53.35
OI00000068,O0000041,P01144,1,32.88,0.1,29.59
OI00000069,O0000042,P00025,1,15.54,0.0,15.54
OI00000070,O0000043,P00845,1,12.9,0.1,11.61
OI00000071,O0000043,P00628,1,41.0,0.2,32.8
OI00000072,O0000043,P01391,2,23.94,0.0,47.88
OI00000073,O0000044,P00373,4,66.5,0.05,252.7
OI00000074,O0000044,P00948,1,17.41,0.0,17.41
OI00000075,O0000044,P00546,1,98.58,0.15,83.79
OI00000076,O0000045,P00322,2,81.12,0.05,154.13
OI00000077,O0000046,P01909,1,87.97,0.0,87.97
OI00000078,O0000046,P01745,2,25.04,0.0,50.08
OI00000079,O0000047,P01659,3,106.0,0.0,318.0
OI00000080,O0000047,P00394,3,128.04,0.15,326.5
OI00000081,O0000048,P01860,2,7.43,0.0,14.86
OI00000082,O0000048,P00862,1,25.63,0.05,24.35
OI00000083,O0000049,P01502,1,16.18,0.0,16.18
OI00000084,O0000049,P00983,3,81.08,0.0,243.24
OI00000085,O0000049,P00616,1,85.9,0.2,68.72
OI00000086,O0000049,P01397,1,80.7,0.0,80.7
OI00000087,O0000050,P00295,1,24.05,0.05,22.85
OI00000088,O0000050,P01162,1,68.88,0.2,55.1
OI00000089,O0000050,P01206,1,18.83,0.0,18.83
OI00000090,O0000051,P00867,1,24.21,0.1,21.79
OI00000091,O0000052,P00977,2,32.01,0.0,64.02
OI00000092,O0000053,P00157,1,17.04,0.0,17.04
OI00000093,O0000054,P01663,4,7.32,0.0,29.28
OI00000094,O0000054,P00331,1,35.86,0.1,32.27
OI00000095,O0000055,P01168,2,23.21,0.15,39.46
OI00000096,O0000055,P00603,3,85.06,0.2,204.14
OI00000097,O0000055,P00373,4,66.5,0.05,252.7
OI00000098,O0000055,P00420,2,13.72,0.0,27.44
OI00000099,O0000056,P01494,1,19.51,0.0,19.51
OI00000100,O0000056,P01675,1,39.4,0.0,39.4
OI00000101,O0000057,P01115,1,526.12,0.1,473.51
OI00000102,O0000057,P01800,5,4.94,0.1,22.23
OI00000103,O0000058,P01073,1,75.36,0.1,67.82
OI00000104,O0000059,P00003,1,171.12,0.0,171.12
OI00000105,O0000060,P01819,2,26.73,0.0,53.46
OI00000106,O0000061,P01658,1,38.02,0.0,38.02
OI00000107,O0000062,P01768,2,12.91,0.0,25.82
OI00000108,O0000062,P00426,2,7.31,0.0,14.62
OI00000109,O0000063,P00954,1,105.19,0.2,84.15
OI00000110,O0000064,P00402,3,52.73,0.1,142.37
OI00000111,O0000065,P00428,1,71.35,0.05,67.78
OI00000112,O0000065,P01183,1,6.99,0.05,6.64
OI00000113,O0000066,P01160,1,16.62,0.1,14.96
OI00000114,O0000067,P00355,1,25.07,0.2,20.06
OI00000115,O0000068,P01296,1,58.78,0.0,58.78
OI00000116,O0000069,P00490,1,41.83,0.0,41.83
OI00000117,O0000069,P00525,1,11.74,0.1,10.57
OI00000118,O0000070,P01977,1,54.42,0.1,48.98
OI00000119,O0000070,P01005,2,11.61,0.0,23.22
OI00000120,O0000071,P00350,3,40.4,0.05,115.14
OI00000121,O0000071,P01681,2,89.1,0.1,160.38
OI00000122,O0000072,P01177,2,30.86,0.0,61.72
OI00000123,O0000072,P00228,4,21.4,0.0,85.6
OI00000124,O0000072,P00335,2,33.2,0.1,59.76
OI00000125,O0000072,P00231,3,60.17,0.05,171.48
OI00000126,O0000073,P00623,1,61.01,0.05,57.96
OI00000127,O0000074,P00227,4,223.65,0.15,760.41
OI00000128,O0000074,P00597,4,26.58,0.1,95.69
OI00000129,O0000074,P00929,1,236.25,0.0,236.25
OI00000130,O0000074,P00176,2,127.59,0.0,255.18
OI00000131,O0000075,P01501,4,62.6,0.0,250.4
OI00000132,O0000075,P00576,2,51.29,0.0,102.58
OI00000133,O0000076,P00080,1,36.02,0.0,36.02
OI00000134,O0000077,P00033,2,56.05,0.1,100.89
OI00000135,O0000077,P01176,2,27.63,0.0,55.26
OI00000136,O0000078,P01831,1,49.88,0.05,47.39
OI00000137,O0000078,P01208,1,55.69,0.1,50.12
OI00000138,O0000078,P01990,1,17.77,0.05,16.88
OI00000139,O0000078,P00099,2,219.5,0.2,351.2
OI00000140,O0000079,P00500,2,23.66,0.0,47.32
OI00000141,O0000080,P00199,1,13.37,0.0,13.37
OI00000142,O0000080,P00979,1,69.53,0.05,66.05
OI00000143,O0000081,P01759,1,99.38,0.0,99.38
OI00000144,O0000082,P01557,2,45.66,0.05,86.75
OI00000145,O0000082,P00497,5,9.75,0.05,46.31
OI00000146,O0000083,P00297,4,18.44,0.2,59.01
OI00000147,O0000083,P00655,1,8.96,0.0,8.96
OI00000148,O0000084,P01452,1,15.17,0.15,12.89
OI00000149,O0000085,P01799,4,78.12,0.1,281.23
OI00000150,O0000086,P00435,1,36.16,0.15,30.74
OI00000151,O0000087,P00447,1,66.95,0.0,66.95
OI00000152,O0000087,P01237,2,44.26,0.0,88.52
OI00000153,O0000088,P01276,1,132.25,0.0,132.25
OI00000154,O0000089,P01036,4,107.35,0.0,429.4
OI00000155,O0000090,P01626,1,14.43,0.15,12.27
OI00000156,O0000091,P00799,1,5.36,0.0,5.36
OI00000157,O0000092,P00980,3,125.58,0.0,376.74
OI00000158,O0000093,P01893,1,67.13,0.05,63.77
OI00000159,O0000094,P00419,1,25.64,0.05,24.36
OI00000160,O0000094,P01299,1,64.09,0.0,64.09
OI00000161,O0000094,P00177,1,16.48,0.0,16.48
OI00000162,O0000095,P01910,2,83.97,0.0,167.94
OI00000163,O0000095,P01586,1,12.4,0.05,11.78
OI00000164,O0000096,P00478,4,16.27,0.0,65.08
OI00000165,O0000097,P00890,2,13.16,0.0,26.32
OI00000166,O0000097,P01811,2,16.78,0.2,26.85
OI00000167,O0000097,P01180,3,22.74,0.0,68.22
OI00000168,O0000098,P01400,2,41.06,0.05,78.01
OI00000169,O0000098,P00604,3,57.33,0.1,154.79
OI00000170,O0000098,P00450,3,7.45,0.1,20.12
OI00000171,O0000099,P00995,1,48.09,0.0,48.09
OI00000172,O0000100,P00960,2,9.98,0.05,18.96
OI00000173,O0000101,P01949,2,24.25,0.05,46.08
OI00000174,O0000101,P00602,1,117.36,0.0,117.36
OI00000175,O0000102,P01344,1,21.91,0.0,21.91
OI00000176,O0000102,P01882,3,37.52,0.1,101.3
OI00000177,O0000102,P01551,1,59.46,0.15,50.54
OI00000178,O0000102,P01331,3,29.2,0.1,78.84
OI00000179,O0000103,P01882,2,37.52,0.0,75.04
OI00000180,O0000103,P00215,3,9.75,0.0,29.25
OI00000181,O0000103,P00480,1,23.67,0.05,22.49
OI00000182,O0000104,P00342,2,24.0,0.0,48.0
OI00000183,O0000104,P00590,1,27.13,0.15,23.06
OI00000184,O0000105,P00043,1,36.32,0.05,34.5
OI00000185,O0000105,P01216,1,89.34,0.0,89.34
OI00000186,O0000106,P00748,1,21.49,0.0,21.49
OI00000187,O0000106,P00792,1,87.17,0.0,87.17
OI00000188,O0000107,P00758,1,32.36,0.0,32.36
OI00000189,O0000108,P00804,1,59.56,0.0,59.56
OI00000190,O0000108,P00489,3,102.82,0.1,277.61
OI00000191,O0000109,P01049,1,12.53,0.05,11.9
OI00000192,O0000109,P00178,1,131.25,0.0,131.25
OI00000193,O0000109,P00920,4,64.24,0.0,256.96
OI00000194,O0000110,P00411,1,21.07,0.0,21.07
OI00000195,O0000110,P01779,1,14.92,0.05,14.17
OI00000196,O0000111,P01253,2,26.12,0.0,52.24
OI00000197,O0000111,P00833,2,42.68,0.0,85.36
OI00000198,O0000111,P01077,1,54.43,0.0,54.43
OI00000199,O0000111,P01965,1,92.13,0.2,73.7
OI00000200,O0000112,P00600,1,21.49,0.0,21.49
OI00000201,O0000113,P01872,1,34.23,0.0,34.23
OI00000202,O0000113,P00033,1,56.05,0.0,56.05
OI00000203,O0000114,P01695,1,63.53,0.1,57.18
OI00000204,O0000115,P01383,1,16.76,0.15,14.25
OI00000205,O0000116,P01523,5,25.59,0.0,127.95
OI00000206,O0000117,P01429,2,20.96,0.05,39.82
OI00000207,O0000117,P01976,1,41.62,0.0,41.62
OI00000208,O0000117,P00975,3,5.97,0.0,17.91
OI00000209,O0000118,P00153,1,44.43,0.0,44.43
OI00000210,O0000119,P00219,1,46.29,0.0,46.29
OI00000211,O0000119,P01766,1,76.49,0.0,76.49
OI00000212,O0000120,P01054,2,20.15,0.0,40.3
OI00000213,O0000120,P00042,1,123.76,0.05,117.57
OI00000214,O0000121,P01663,2,7.32,0.0,14.64
OI00000215,O0000121,P00185,2,49.99,0.1,89.98
OI00000216,O0000122,P00481,2,13.14,0.0,26.28
OI00000217,O0000123,P00348,1,40.67,0.0,40.67
OI00000218,O0000124,P01319,4,31.43,0.05,119.43
OI00000219,O0000124,P01696,1,3.0,0.0,3.0
OI00000220,O0000125,P00317,2,109.19,0.15,185.62
OI00000221,O0000125,P01721,1,10.45,0.0,10.45
OI00000222,O0000125,P00732,3,29.54,0.0,88.62
OI00000223,O0000125,P00415,3,96.65,0.0,289.95
OI00000224,O0000126,P01877,1,37.24,0.1,33.52
OI00000225,O0000126,P01057,1,52.35,0.05,49.73
OI00000226,O0000127,P00882,3,79.89,0.05,227.69
OI00000227,O0000128,P01059,3,108.18,0.0,324.54
OI00000228,O0000128,P00809,2,42.41,0.0,84.82
OI00000229,O0000128,P01647,1,31.42,0.0,31.42
OI00000230,O0000128,P00635,1,16.04,0.0,16.04
OI00000231,O0000129,P01737,1,9.74,0.0,9.74
OI00000232,O0000130,P00393,1,5.34,0.05,5.07
OI00000233,O0000131,P00112,2,13.01,0.05,24.72
OI00000234,O0000132,P01065,1,76.91,0.1,69.22
OI00000235,O0000132,P00098,3,41.8,0.0,125.4
OI00000236,O0000133,P01323,1,14.72,0.0,14.72
OI00000237,O0000133,P00149,1,94.49,0.0,94.49
OI00000238,O0000134,P00570,2,50.57,0.1,91.03
OI00000239,O0000135,P00610,1,89.81,0.05,85.32
OI00000240,O0000135,P00652,2,28.25,0.0,56.5
OI00000241,O0000135,P01172,1,132.37,0.0,132.37
OI00000242,O0000135,P01739,3,23.84,0.05,67.94
OI00000243,O0000136,P00743,3,28.95,0.0,86.85
OI00000244,O0000136,P00852,2,42.36,0.0,84.72
OI00000245,O0000136,P01367,2,23.83,0.0,47.66
OI00000246,O0000137,P00243,2,42.34,0.0,84.68
OI00000247,O0000138,P01207,3,205.76,0.1,555.55
OI00000248,O0000138,P00936,5,44.99,0.0,224.95
