order_id,customer_id,order_timestamp,shipping_country,shipping_city,order_status,order_amount
O0000001,C02347,2025-09-28 08:20:33,Canada,Montreal,Delivered,498.04
O0000002,C03729,2025-08-26 02:59:31,India,Pune,Delivered,230.16
O0000003,C06602,2026-04-14 18:24:50,USA,Seattle,Delivered,193.46
O0000004,C05175,2025-02-06 17:58:44,UK,London,Processing,287.58
O0000005,C02883,2025-07-29 03:43:28,India,Chennai,Delivered,288.86
O0000006,C04125,2026-01-25 11:14:18,Germany,Hamburg,Delivered,123.39
O0000007,C07969,2026-04-30 13:04:03,UK,Birmingham,Shipped,144.88
O0000008,C05952,2025-02-23 18:49:51,India,Bengaluru,Delivered,35.71
O0000009,C04938,2025-01-24 10:25:04,USA,Seattle,Delivered,17.58
O0000010,C06641,2025-09-18 16:30:39,Australia,Brisbane,Delivered,121.5
O0000011,C03554,2025-04-23 22:50:20,UK,Manchester,Delivered,12.13
O0000012,C07621,2025-08-30 21:54:10,France,Lyon,Delivered,302.4
O0000013,C04443,2026-04-02 16:16:44,India,Pune,Delivered,244.55
O0000014,C02618,2025-08-20 09:40:19,India,Bengaluru,Delivered,44.68
O0000015,C00696,2026-06-16 17:18:41,USA,San Francisco,Delivered,66.12
O0000016,C03012,2026-07-31 03:28:09,India,Chennai,Delivered,67.28
O0000017,C04578,2025-02-01 10:33:38,India,Pune,Delivered,16.21
O0000018,C05643,2026-02-04 22:04:38,India,Pune,Delivered,125.58
O0000019,C07023,2025-08-29 18:40:49,Singapore,Singapore,Processing,205.76
O0000020,C07572,2026-05-23 02:37:51,USA,Seattle,Delivered,124.79
O0000021,C00829,2025-02-10 17:22:07,Australia,Melbourne,Delivered,87.88
O0000022,C04838,2026-04-03 11:57:28,UK,London,Delivered,359.16
O0000023,C05366,2025-01-09 16:46:44,Netherlands,Rotterdam,Delivered,119.6
O0000024,C01381,2026-08-20 03:09:34,India,Hyderabad,Cancelled,268.01
O0000025,C04400,2025-06-12 17:54:37,India,Chennai,Processing,632.96
O0000026,C02678,2026-04-26 07:18:26,India,Pune,Delivered,276.97
O0000027,C00631,2026-07-19 14:19:23,Canada,Montreal,Shipped,104.85
O0000028,C00542,2026-02-15 05:15:56,USA,New York,Delivered,112.76
O0000029,C06089,2026-07-11 04:10:14,Canada,Montreal,Delivered,36.1
O0000030,C04949,2026-01-10 08:02:56,Germany,Hamburg,Delivered,125.35
O0000031,C05737,2025-12-12 17:14:39,USA,New York,Delivered,193.47
O0000032,C05501,2025-01-10 10:29:48,USA,Austin,Delivered,250.39
O0000033,C01084,2026-02-13 09:49:58,France,Paris,Delivered,20.9
O0000034,C01216,2025-07-07 09:47:15,India,Pune,Shipped,37.56
O0000035,C02019,2025-12-14 17:03:58,India,Delhi,Cancelled,18.96
O0000036,C03201,2025-08-10 06:40:34,USA,Seattle,Delivered,118.68
O0000037,C07530,2026-08-03 05:33:10,India,Bengaluru,Delivered,286.3
O0000038,C05416,2025-07-01 00:21:26,UK,London,Delivered,76.65
O0000039,C02044,2025-03-09 09:08:59,India,Pune,Delivered,46.17
O0000040,C00464,2025-09-07 12:04:25,USA,San Francisco,Delivered,133.83
O0000041,C05490,2025-11-21 13:41:37,UAE,Dubai,Delivered,29.59
O0000042,C05028,2026-07-13 01:29:12,India,Mumbai,Delivered,15.54
O0000043,C05427,2025-03-09 22:32:01,Netherlands,Rotterdam,Shipped,92.29
O0000044,C02095,2025-12-09 06:28:45,India,Hyderabad,Delivered,353.9
O0000045,C04166,2025-09-05 11:39:11,UK,Manchester,Delivered,154.13
O0000046,C02898,2025-11-18 01:16:57,India,Pune,Delivered,138.05
O0000047,C06554,2025-01-11 02:38:43,India,Pune,Delivered,644.5
O0000048,C00566,2025-04-21 01:37:54,USA,New York,Delivered,39.21
O0000049,C02211,2026-08-21 22:39:24,Australia,Sydney,Processing,408.84
O0000050,C04853,2025-05-05 00:01:17,Australia,Brisbane,Shipped,96.78
O0000051,C01637,2026-04-10 05:51:01,UK,Birmingham,Delivered,21.79
O0000052,C05405,2025-10-07 12:28:43,India,Mumbai,Shipped,64.02
O0000053,C01101,2025-08-18 02:52:38,India,Delhi,Delivered,17.04
O0000054,C00181,2025-12-22 00:10:45,India,Delhi,Delivered,61.55
O0000055,C06929,2026-04-06 11:51:45,Canada,Montreal,Delivered,523.74
O0000056,C02667,2025-03-31 08:26:47,India,Hyderabad,Delivered,58.91
O0000057,C01267,2025-12-27 18:47:07,UK,Birmingham,Delivered,495.74
O0000058,C01388,2026-03-13 09:31:41,India,Delhi,Delivered,67.82
O0000059,C07109,2026-04-30 14:40:35,France,Marseille,Delivered,171.12
O0000060,C05268,2025-03-24 04:31:40,UK,Leeds,Delivered,53.46
O0000061,C07669,2025-03-24 09:13:16,France,Lyon,Shipped,38.02
O0000062,C06429,2025-08-11 10:05:07,India,Bengaluru,Delivered,40.44
O0000063,C06166,2025-03-31 04:49:15,UK,Manchester,Shipped,84.15
O0000064,C04034,2026-05-02 07:41:22,Netherlands,Amsterdam,Delivered,142.37
O0000065,C06580,2025-08-28 05:58:28,USA,Chicago,Delivered,74.42
O0000066,C03300,2025-01-08 17:33:48,Germany,Berlin,Delivered,14.96
O0000067,C06635,2026-05-25 21:52:00,USA,Austin,Delivered,20.06
O0000068,C06077,2025-03-05 11:38:07,India,Pune,Processing,58.78
O0000069,C05447,2026-01-04 06:30:22,India,Hyderabad,Processing,52.4
O0000070,C02638,2025-09-07 07:17:23,Australia,Melbourne,Delivered,72.2
O0000071,C05067,2026-06-22 06:08:01,UK,London,Delivered,275.52
O0000072,C04088,2026-06-12 14:01:21,USA,New York,Delivered,378.56
O0000073,C03731,2025-03-01 04:45:12,India,Chennai,Delivered,57.96
O0000074,C07921,2026-07-08 01:50:10,USA,San Francisco,Delivered,1347.53
O0000075,C04069,2026-06-29 09:13:17,Canada,Toronto,Delivered,352.98
O0000076,C00262,2025-11-21 08:24:53,Netherlands,Rotterdam,Shipped,36.02
O0000077,C05037,2025-03-06 19:06:51,USA,Chicago,Delivered,156.15
O0000078,C05836,2026-04-01 09:39:48,USA,New York,Delivered,465.59
O0000079,C07105,2025-10-02 02:48:18,India,Pune,Delivered,47.32
O0000080,C05081,2025-06-03 12:13:16,India,Chennai,Delivered,79.42
O0000081,C00155,2026-07-02 15:19:52,Netherlands,Amsterdam,Shipped,99.38
O0000082,C00972,2026-05-09 09:43:46,UAE,Dubai,Delivered,133.06
O0000083,C01298,2025-11-04 09:20:45,India,Pune,Delivered,67.97
O0000084,C01687,2025-05-09 21:21:14,UAE,Sharjah,Processing,12.89
O0000085,C06427,2025-04-10 00:13:13,UAE,Sharjah,Delivered,281.23
O0000086,C02485,2026-02-02 05:06:10,UK,Birmingham,Delivered,30.74
O0000087,C02506,2025-05-30 21:52:54,India,Delhi,Delivered,155.47
O0000088,C06060,2025-10-19 01:48:55,Germany,Munich,Delivered,132.25
O0000089,C03297,2025-09-03 15:52:32,USA,Seattle,Delivered,429.4
O0000090,C00528,2025-04-22 11:40:45,India,Pune,Delivered,12.27
O0000091,C04713,2026-01-23 05:51:16,India,Delhi,Delivered,5.36
O0000092,C01053,2025-06-29 19:53:09,UAE,Dubai,Delivered,376.74
O0000093,C04597,2025-10-25 09:36:53,Australia,Melbourne,Delivered,63.77
O0000094,C06269,2025-12-18 23:02:50,India,Hyderabad,Delivered,104.93
O0000095,C07447,2025-12-01 01:23:08,USA,New York,Delivered,179.72
O0000096,C00550,2026-04-24 15:15:04,Australia,Sydney,Delivered,65.08
O0000097,C02438,2025-09-27 07:29:36,India,Pune,Delivered,121.39
O0000098,C05252,2025-01-14 12:49:50,Singapore,Singapore,Delivered,252.92
O0000099,C02531,2026-07-13 20:29:54,Canada,Montreal,Processing,48.09
O0000100,C03631,2026-08-20 10:12:31,Australia,Sydney,Delivered,18.96
O0000101,C00158,2025-12-03 00:24:34,Australia,Brisbane,Delivered,163.44
O0000102,C05567,2026-03-27 11:40:46,Canada,Toronto,Shipped,252.59
O0000103,C07088,2025-10-03 03:06:12,USA,Austin,Processing,126.78
O0000104,C07824,2025-01-30 13:33:04,Australia,Sydney,Delivered,71.06
O0000105,C06659,2026-07-20 18:21:28,India,Delhi,Delivered,123.84
O0000106,C00261,2025-06-11 15:50:56,India,Chicago,Delivered,3127.1
O0000107,C05246,2025-05-04 22:52:45,USA,New York,Delivered,32.36
O0000108,C04005,2025-04-06 21:14:25,India,Pune,Processing,337.17
O0000109,C07523,2025-07-20 11:52:42,USA,Chicago,Delivered,400.11
O0000110,C07243,2026-05-05 20:21:17,India,Mumbai,Shipped,35.24
O0000111,C07907,2025-12-19 08:23:24,India,Hyderabad,Shipped,265.73
O0000112,C06917,2025-04-29 11:22:57,UK,Leeds,Delivered,21.49
O0000113,C04409,2026-08-31 18:57:14,UK,Birmingham,Shipped,90.28
O0000114,C05734,2025-02-25 20:49:32,USA,Seattle,Shipped,57.18
O0000115,C07739,2026-04-30 03:41:18,Canada,Toronto,Delivered,14.25
O0000116,C04654,2026-05-21 15:10:15,Germany,Hamburg,Delivered,127.95
O0000117,C06742,2026-05-27 05:01:06,India,Delhi,Delivered,99.35
O0000118,C07556,2025-12-10 15:30:24,UK,Manchester,Delivered,44.43
O0000119,C04590,2026-03-25 06:26:19,Australia,Brisbane,Delivered,122.78
O0000120,C01282,2025-03-22 09:05:35,Canada,Montreal,Delivered,157.87
O0000121,C01254,2026-01-01 13:27:03,India,Pune,Delivered,104.62
O0000122,C00932,2025-07-27 00:41:24,Germany,Berlin,Delivered,26.28
O0000123,C03849,2025-09-29 11:42:22,Canada,Vancouver,Delivered,40.67
O0000124,C03879,2025-02-17 22:45:58,USA,Seattle,Delivered,122.43
O0000125,C04966,2025-05-13 16:45:53,India,Delhi,Cancelled,574.64
O0000126,C03905,2026-03-06 14:59:36,Germany,Berlin,Shipped,83.25
O0000127,C07799,2026-04-17 04:30:59,India,Chennai,Shipped,227.69
O0000128,C02341,2025-10-22 04:45:24,Australia,Brisbane,Delivered,456.82
O0000129,C07012,2025-10-25 18:32:20,Germany,Hamburg,Delivered,9.74
O0000130,C00811,2025-12-04 00:11:38,Netherlands,Rotterdam,Delivered,5.07
O0000131,C04845,2025-03-10 11:05:10,India,Chennai,Delivered,24.72
O0000132,C05213,2025-10-18 02:00:33,India,Mumbai,Delivered,194.62
O0000133,C06207,2026-03-29 20:57:56,India,Bengaluru,Delivered,109.21
O0000134,C04056,2025-04-20 13:45:21,India,Chennai,Delivered,91.03
O0000135,C01579,2026-08-03 11:05:04,USA,Seattle,Shipped,342.13
O0000136,C02957,2026-05-18 02:05:03,Australia,Melbourne,Delivered,219.23
O0000137,C02184,2025-12-19 05:30:55,India,Pune,Shipped,84.68
O0000138,C03356,2025-06-22 21:53:59,India,Mumbai,Delivered,780.5
O0000139,C04272,2025-08-14 20:15:39,Singapore,Singapore,Delivered,82.66
O0000140,C05025,2025-03-14 02:28:12,UAE,Dubai,Delivered,33.9
O0000141,C06786,2025-07-26 00:02:14,France,Lyon,Delivered,73.04
O0000142,C07301,2025-11-01 05:21:28,India,Hyderabad,Delivered,85.23
O0000143,C03740,2025-06-27 02:06:53,USA,New York,Delivered,215.06
O0000144,C00716,2025-07-05 19:11:46,UAE,Dubai,Processing,119.46
O0000145,C06402,2026-05-28 18:34:16,France,Marseille,Delivered,17.2
O0000146,C03857,2026-04-03 22:49:29,UK,Manchester,Delivered,49.09
O0000147,C04407,2025-11-21 17:48:03,UAE,Abu Dhabi,Delivered,60.35
O0000148,C04803,2026-07-25 15:00:35,UAE,Dubai,Delivered,573.65
O0000149,C05377,2025-06-19 12:09:52,USA,San Francisco,Delivered,60.21
O0000150,C07147,2025-07-28 03:49:25,Australia,Brisbane,Delivered,63.14
O0000151,C07639,2025-05-21 18:25:51,India,Delhi,Delivered,125.65
O0000152,C07536,2026-01-07 21:43:35,Canada,Vancouver,Delivered,851.71
O0000153,C06492,2025-03-20 13:13:31,India,Pune,Delivered,243.57
O0000154,C07139,2025-02-19 05:39:14,Canada,Montreal,Delivered,29.4
O0000155,C00411,2025-01-23 00:24:26,India,Chennai,Processing,80.46
O0000156,C06816,2025-12-17 03:01:37,India,Delhi,Delivered,122.07
O0000157,C00591,2025-03-20 19:35:03,India,Delhi,Delivered,264.96
O0000158,C05985,2025-05-23 23:58:59,India,Bengaluru,Delivered,23.97
O0000159,C01359,2025-01-28 20:48:10,India,Hyderabad,Shipped,77.4
O0000160,C02883,2025-12-28 01:13:02,India,Chennai,Processing,150.64
O0000161,C01484,2025-09-25 04:46:11,India,Hyderabad,Shipped,70.96
O0000162,C03568,2025-05-06 08:13:44,Canada,Toronto,Delivered,319.2
O0000163,C03291,2025-10-15 14:26:01,India,Pune,Delivered,42.47
O0000164,C00396,2025-12-23 04:43:00,UAE,Dubai,Delivered,146.38
O0000165,C06659,2026-07-23 09:16:34,India,Delhi,Shipped,29.37
O0000166,C06853,2025-10-14 04:41:28,UAE,Sharjah,Delivered,77.74
O0000167,C06332,2025-10-23 15:42:45,Canada,Toronto,Delivered,87.36
O0000168,C06804,2025-11-05 09:09:00,UK,London,Delivered,8.1
O0000169,C06027,2026-07-02 17:57:04,France,Paris,Shipped,315.93
O0000170,C07519,2025-11-29 00:48:31,Germany,Berlin,Delivered,20.15
O0000171,C04639,2025-04-25 19:36:14,Australia,Sydney,Delivered,120.0
O0000172,C04688,2026-01-13 05:15:01,India,Pune,Delivered,29.06
O0000173,C06898,2026-02-24 04:43:19,India,Pune,Delivered,65.8
O0000174,C02800,2025-04-28 23:48:11,India,Bengaluru,Delivered,193.14
O0000175,C00414,2026-04-12 13:08:11,USA,Chicago,Delivered,23.01
O0000176,C06017,2026-07-17 10:41:43,India,Pune,Delivered,10.45
O0000177,C02038,2026-04-10 19:22:51,India,Bengaluru,Shipped,185.17
O0000178,C03831,2026-07-07 01:50:18,UK,Birmingham,Delivered,49.28
O0000179,C01919,2025-11-05 17:22:41,UK,Birmingham,Processing,50.19
O0000180,C06635,2025-08-28 18:38:13,USA,Austin,Processing,119.2
O0000181,C07687,2025-11-11 05:56:53,Australia,Melbourne,Shipped,669.82
O0000182,C00455,2025-12-28 05:43:32,India,Hyderabad,Delivered,60.68
O0000183,C01868,2025-03-19 13:19:27,India,Delhi,Cancelled,215.32
O0000184,C01528,2026-08-14 23:38:02,India,Bengaluru,Delivered,149.6
O0000185,C05410,2026-03-09 04:42:44,USA,San Francisco,Delivered,19.49
O0000186,C03434,2025-07-07 15:52:05,UK,London,Delivered,231.89
O0000187,C03680,2025-01-03 00:04:54,UK,Birmingham,Delivered,113.55
O0000188,C01269,2025-10-22 20:43:06,USA,Austin,Delivered,12.53
O0000189,C03319,2026-02-26 07:10:34,Germany,Hamburg,Delivered,225.48
O0000190,C02431,2025-06-17 07:02:23,USA,Seattle,Delivered,354.83
O0000191,C04909,2025-01-24 09:15:05,Australia,Sydney,Delivered,296.72
O0000192,C01735,2025-11-16 22:39:00,India,Bengaluru,Processing,94.9
O0000193,C04942,2025-01-28 05:48:40,UK,Birmingham,Processing,72.67
O0000194,C03025,2026-08-22 11:00:41,India,Delhi,Delivered,14.75
O0000195,C02772,2026-01-27 06:21:12,India,Hyderabad,Processing,213.94
O0000196,C02452,2026-08-08 14:16:30,Singapore,Singapore,Shipped,187.63
O0000197,C05416,2026-06-08 13:37:31,UK,London,Delivered,6.99
O0000198,C04523,2026-04-12 14:10:33,France,Lyon,Processing,335.4
O0000199,C06834,2026-04-29 15:51:25,UAE,Dubai,Delivered,52.88
O0000200,C01926,2026-08-23 01:25:53,India,Bengaluru,Cancelled,145.36
O0000201,C00326,2026-08-21 05:21:29,Australia,Melbourne,Delivered,958.66
O0000202,C01469,2025-10-11 03:11:13,France,Paris,Delivered,138.68
O0000203,C02751,2025-08-20 15:17:47,UK,Birmingham,Delivered,61.53
O0000204,C01448,2025-08-08 12:04:48,Germany,Hamburg,Delivered,32.44
O0000205,C00679,2026-02-08 05:34:22,Singapore,Singapore,Delivered,60.23
O0000206,C03584,2026-02-11 23:49:34,France,Marseille,Delivered,41.93
O0000207,C05437,2025-01-27 21:44:30,India,Hyderabad,Shipped,48.7
O0000208,C06030,2026-07-28 00:11:27,India,Mumbai,Delivered,307.86
O0000209,C03198,2026-04-30 11:45:24,France,Paris,Delivered,83.36
O0000210,C03866,2025-08-15 17:57:22,UK,Birmingham,Processing,79.3
O0000211,C06059,2025-06-23 06:05:26,Germany,Munich,Delivered,82.43
O0000212,C02826,2025-10-02 16:53:13,Germany,Munich,Delivered,461.9
O0000213,C06310,2025-03-30 13:11:36,Germany,Berlin,Delivered,428.43
O0000214,C07754,2025-05-08 13:24:41,UK,Manchester,Processing,18.41
O0000215,C07064,2026-08-17 06:43:03,Australia,Melbourne,Delivered,59.16
O0000216,C03654,2026-05-23 05:13:51,India,Chennai,Delivered,123.4
O0000217,C04665,2025-06-14 07:01:18,Germany,Berlin,Delivered,15.19
O0000218,C05749,2025-07-27 14:39:24,Netherlands,Amsterdam,Delivered,29.23
O0000219,C02800,2026-08-17 17:30:40,India,Bengaluru,Delivered,109.71
O0000220,C06421,2026-07-11 01:25:18,Netherlands,Amsterdam,Delivered,264.25
O0000221,C03509,2025-09-08 04:51:54,Germany,Berlin,Delivered,16.75
O0000222,C06798,2025-10-05 11:03:53,India,Chennai,Delivered,74.18
O0000223,C02040,2025-03-18 06:52:14,India,Delhi,Delivered,73.87
O0000224,C00094,2026-07-09 14:38:57,USA,Chicago,Delivered,137.25
O0000225,C05081,2026-07-21 14:44:40,India,Chennai,Delivered,425.81
O0000226,C03640,2025-07-17 20:21:45,India,Hyderabad,Delivered,164.57
O0000227,C00496,2026-08-30 04:45:26,UK,Birmingham,Delivered,255.68
O0000228,C03939,2025-02-03 18:05:27,India,Delhi,Delivered,264.11
O0000229,C01352,2025-12-30 10:41:31,USA,San Francisco,Delivered,36.67
O0000230,C05061,2026-01-01 23:37:48,UAE,Abu Dhabi,Delivered,158.78
O0000231,C03582,2026-07-25 06:20:15,Germany,Munich,Delivered,276.12
O0000232,C01374,2026-04-11 03:18:23,UK,Leeds,Shipped,40.94
O0000233,C03293,2025-09-11 13:29:50,UK,Leeds,Delivered,58.54
O0000234,C01863,2025-07-30 13:58:19,India,Hyderabad,Delivered,213.72
O0000235,C05257,2025-07-03 11:33:59,India,Chennai,Delivered,43.26
O0000236,C02374,2025-02-24 06:51:30,UK,Birmingham,Delivered,37.51
O0000237,C06593,2025-03-21 14:54:19,UK,Birmingham,Delivered,265.31
O0000238,C00117,2025-07-31 15:56:40,Germany,Hamburg,Shipped,85.66
O0000239,C03230,2025-07-25 16:59:56,India,Chennai,Cancelled,7.75
O0000240,C04963,2025-10-25 06:28:49,India,Mumbai,Delivered,266.94
O0000241,C00180,2025-06-01 02:19:25,India,Pune,Delivered,130.98
O0000242,C01721,2025-07-24 07:09:49,India,Mumbai,Delivered,16.6
O0000243,C02622,2025-02-11 23:41:00,France,Lyon,Delivered,239.37
O0000244,C00174,2026-08-17 10:35:55,India,Mumbai,Processing,141.59
O0000245,C04408,2025-12-11 21:01:08,India,Delhi,Delivered,376.84
O0000246,C05069,2025-04-06 05:03:50,UAE,Sharjah,Delivered,85.12
O0000247,C01818,2025-10-16 23:34:06,Australia,Brisbane,Delivered,46.22
O0000248,C04383,2026-05-01 18:02:42,USA,Austin,Delivered,111.02
O0000249,C07994,2025-10-19 21:27:43,India,Hyderabad,Delivered,24.28
O0000250,C07118,2025-08-25 08:54:25,India,Delhi,Delivered,211.86
O0000251,C00487,2025-12-27 07:06:41,India,Hyderabad,Processing,58.01
O0000252,C01036,2025-05-10 17:40:09,Canada,Toronto,Delivered,191.27
O0000253,C03995,2025-11-06 10:23:43,UK,Leeds,Delivered,150.7
O0000254,C01957,2026-06-09 14:38:25,USA,New York,Delivered,246.75
O0000255,C00661,2025-01-10 01:31:06,UK,Manchester,Delivered,380.18
O0000256,C02038,2026-05-13 03:35:53,India,Bengaluru,Delivered,339.26
O0000257,C00508,2025-03-09 15:45:46,Germany,Berlin,Delivered,436.7
O0000258,C04271,2026-02-17 08:40:53,USA,Chicago,Delivered,461.35
O0000259,C03959,2026-05-15 15:29:06,India,Mumbai,Delivered,256.32
O0000260,C00048,2026-08-30 12:42:49,USA,Seattle,Delivered,254.75
O0000261,C03902,2025-12-15 06:21:31,UK,Leeds,Delivered,44.08
O0000262,C04187,2026-08-09 07:30:40,India,Delhi,Delivered,56.16
O0000263,C04870,2025-07-10 08:54:24,Germany,Berlin,Delivered,35.09
O0000264,C07775,2025-01-01 15:44:32,UK,Chennai,Delivered,4424.76
O0000265,C07870,2025-08-19 17:58:38,India,Delhi,Delivered,153.92
O0000266,C04246,2026-05-30 19:46:17,UAE,Sharjah,Shipped,116.8
O0000267,C06787,2025-01-12 22:11:41,UAE,Sharjah,Processing,207.64
O0000268,C00690,2025-01-26 11:51:40,India,Bengaluru,Delivered,169.06
O0000269,C04283,2026-08-27 00:20:10,India,Delhi,Delivered,292.5
O0000270,C05449,2026-02-07 02:43:37,USA,Chicago,Delivered,129.93
O0000271,C04539,2026-05-19 01:42:48,India,Delhi,Cancelled,80.35
O0000272,C01848,2025-10-11 00:59:12,India,Chennai,Delivered,42.91
O0000273,C00518,2026-07-03 23:53:50,Germany,Munich,Delivered,33.23
O0000274,C03098,2026-07-19 20:53:07,India,Mumbai,Delivered,285.82
O0000275,C05206,2026-03-20 10:00:20,UK,Manchester,Processing,29.1
O0000276,C07929,2025-09-05 03:45:57,Australia,Brisbane,Shipped,237.05
O0000277,C01891,2025-12-09 13:16:41,India,Pune,Shipped,39.77
O0000278,C07363,2026-05-09 12:26:20,USA,San Francisco,Delivered,476.44
O0000279,C00559,2026-04-15 00:10:20,Australia,Sydney,Delivered,23.78
O0000280,C07459,2026-07-03 16:19:28,India,Bengaluru,Shipped,27.78
O0000281,C06676,2025-06-24 10:50:05,France,Paris,Delivered,31.08
O0000282,C00166,2026-04-15 04:49:54,Germany,Hamburg,Delivered,196.74
O0000283,C02395,2025-12-09 04:30:57,France,Marseille,Delivered,106.45
O0000284,C00422,2026-06-30 10:34:51,Germany,Berlin,Delivered,84.66
O0000285,C07963,2025-12-05 14:00:03,India,Chennai,Delivered,118.4
O0000286,C03429,2026-02-09 20:05:32,France,Lyon,Delivered,209.57
O0000287,C05333,2026-05-09 20:51:40,India,Pune,Delivered,25.76
O0000288,C01871,2025-11-14 09:17:56,Germany,Hamburg,Delivered,20.1
O0000289,C07483,2026-03-22 17:03:52,UK,Leeds,Delivered,45.97
O0000290,C02202,2025-01-25 15:34:52,India,Hyderabad,Delivered,84.2
O0000291,C02089,2025-11-01 16:03:55,Germany,Hamburg,Processing,201.92
O0000292,C02523,2026-06-14 01:07:04,India,Bengaluru,Delivered,506.02
O0000293,C03740,2025-02-06 15:52:10,USA,New York,Delivered,146.72
O0000294,C00148,2025-01-27 18:19:03,UK,Leeds,Delivered,87.52
O0000295,C04815,2026-06-15 11:18:46,Australia,Melbourne,Delivered,170.71
O0000296,C00260,2025-02-07 01:24:27,India,Delhi,Delivered,36.35
O0000297,C04354,2025-06-28 16:15:12,Singapore,Singapore,Processing,64.12
O0000298,C03696,2026-03-21 08:19:34,India,Pune,Delivered,545.81
O0000299,C01938,2025-09-07 21:33:57,Germany,Munich,Delivered,222.85
O0000300,C02638,2026-08-04 06:13:05,Australia,Melbourne,Delivered,659.73
O0000301,C05659,2025-10-14 02:42:46,Singapore,Singapore,Delivered,339.55
O0000302,C00079,2025-08-27 18:42:09,UK,London,Delivered,20.94
O0000303,C02538,2026-04-03 02:45:28,India,Pune,Delivered,63.45
O0000304,C05460,2025-07-18 01:34:58,Singapore,Singapore,Delivered,153.49
O0000305,C01223,2026-04-27 08:01:25,UK,London,Delivered,97.68
O0000306,C04506,2025-01-16 16:59:38,India,Hyderabad,Cancelled,44.99
O0000307,C01356,2026-06-17 05:42:59,France,Marseille,Delivered,77.57
O0000308,C01247,2026-07-10 05:18:38,India,Pune,Delivered,22.15
O0000309,C06208,2025-07-29 20:05:30,India,Delhi,Delivered,101.57
O0000310,C02137,2025-08-17 01:30:14,India,Chennai,Delivered,70.02
O0000311,C03013,2025-01-26 11:06:21,India,Chennai,Delivered,122.22
O0000312,C05853,2025-08-20 23:50:22,France,Lyon,Delivered,474.9
O0000313,C01446,2026-02-20 09:06:46,India,Chennai,Delivered,207.95
O0000314,C04287,2026-02-27 01:19:07,France,Marseille,Delivered,74.44
O0000315,C07363,2025-06-19 02:44:19,USA,San Francisco,Delivered,422.03
O0000316,C04457,2025-07-08 10:18:26,Canada,Toronto,Delivered,75.7
O0000317,C00403,2026-06-24 12:06:11,UK,London,Delivered,400.29
O0000318,C04757,2025-02-18 11:17:10,India,Chennai,Delivered,192.68
O0000319,C00729,2025-03-05 05:43:42,India,Delhi,Shipped,167.9
O0000320,C02268,2025-09-14 11:38:15,Canada,Montreal,Delivered,179.48
O0000321,C06820,2026-07-02 05:22:59,Canada,Montreal,Processing,136.18
O0000322,C00092,2025-01-23 20:09:29,Canada,Vancouver,Delivered,246.51
O0000323,C00628,2026-08-07 22:36:37,Australia,Melbourne,Delivered,150.8
O0000324,C02910,2025-07-07 22:40:20,India,Pune,Delivered,295.76
O0000325,C07996,2025-02-20 17:29:01,India,Mumbai,Cancelled,48.1
O0000326,C02347,2025-01-07 17:46:56,Canada,Montreal,Delivered,137.35
O0000327,C01271,2026-08-09 00:01:15,Canada,Montreal,Delivered,167.81
O0000328,C04428,2026-04-22 08:31:02,India,Mumbai,Delivered,271.43
O0000329,C04182,2026-05-17 08:18:17,Canada,Vancouver,Cancelled,79.29
O0000330,C03619,2025-11-28 04:38:44,Germany,Berlin,Shipped,229.9
O0000331,C07591,2026-03-12 03:56:22,India,Pune,Shipped,43.26
O0000332,C02251,2026-01-13 03:08:28,India,Hyderabad,Delivered,166.52
O0000333,C02359,2025-01-01 18:27:24,USA,New York,Delivered,301.45
O0000334,C01121,2026-02-01 01:59:27,France,Marseille,Delivered,200.7
O0000335,C05592,2026-01-15 10:52:51,USA,Austin,Processing,7.32
O0000336,C02576,2025-11-11 19:23:46,USA,Austin,Delivered,42.14
O0000337,C06449,2026-08-28 09:31:01,India,Chennai,Delivered,62.19
O0000338,C07786,2025-11-10 14:29:06,UK,Manchester,Delivered,47.14
O0000339,C00354,2025-10-29 03:43:04,India,Mumbai,Delivered,43.7
