payment_id,order_id,customer_id,order_timestamp,order_amount,payment_method,payment_status,payment_amount,device_id,ip_address,payment_attempts,billing_country,shipping_country
PAY00000001,O0000001,C02347,2025-09-28 08:20:33,498.04,Wallet,Success,498.04,D001103,IP005923,1,Canada,Canada
PAY00000002,O0000002,C03729,2025-08-26 02:59:31,230.16,Card,Success,230.16,D009664,IP000768,1,India,India
PAY00000003,O0000003,C06602,2026-04-14 18:24:50,193.46,Card,Success,193.46,D008029,IP005834,1,USA,USA
PAY00000004,O0000004,C05175,2025-02-06 17:58:44,287.58,Card,Success,287.58,D005727,IP002646,1,UK,UK
PAY00000005,O0000005,C02883,2025-07-29 03:43:28,288.86,Card,Success,288.86,D006320,IP004703,1,India,India
PAY00000006,O0000006,C04125,2026-01-25 11:14:18,123.39,Card,Success,123.39,D005353,IP003951,1,Germany,Germany
PAY00000007,O0000007,C07969,2026-04-30 13:04:03,144.88,Card,Success,144.88,D002715,IP002940,2,UK,UK
PAY00000008,O0000008,C05952,2025-02-23 18:49:51,35.71,UPI,Success,35.71,D005799,IP002160,1,India,India
PAY00000009,O0000009,C04938,2025-01-24 10:25:04,17.58,Wallet,Success,17.58,D005344,IP000745,1,USA,USA
PAY00000010,O0000010,C06641,2025-09-18 16:30:39,121.5,Card,Success,121.5,D007305,IP005920,1,Australia,Australia
PAY00000011,O0000011,C03554,2025-04-23 22:50:20,12.13,Wallet,Success,12.13,D001095,IP004753,1,UK,UK
PAY00000012,O0000012,C07621,2025-08-30 21:54:10,302.4,Card,Success,302.4,D009759,IP004020,1,France,France
PAY00000013,O0000013,C04443,2026-04-02 16:16:44,244.55,Card,Success,244.55,D002474,IP001568,1,India,India
PAY00000014,O0000014,C02618,2025-08-20 09:40:19,44.68,Card,Success,44.68,D004896,IP000535,1,India,India
PAY00000015,O0000015,C00696,2026-06-16 17:18:41,66.12,Card,Success,66.12,D004401,IP005042,2,USA,USA
PAY00000016,O0000016,C03012,2026-07-31 03:28:09,67.28,Card,Success,67.28,D000496,IP002515,1,India,India
PAY00000017,O0000017,C04578,2025-02-01 10:33:38,16.21,Card,Success,16.21,D001412,IP001361,1,India,India
PAY00000018,O0000018,C05643,2026-02-04 22:04:38,125.58,Wallet,Success,125.58,D005003,IP002968,1,India,India
PAY00000019,O0000019,C07023,2025-08-29 18:40:49,205.76,Card,Success,205.76,D000175,IP005468,1,Singapore,Singapore
PAY00000020,O0000020,C07572,2026-05-23 02:37:51,124.79,Card,Success,124.79,D004991,IP006143,1,USA,USA
PAY00000021,O0000021,C00829,2025-02-10 17:22:07,87.88,Card,Success,87.88,D006046,IP004738,1,Australia,Australia
PAY00000022,O0000022,C04838,2026-04-03 11:57:28,359.16,Card,Success,359.16,D009679,IP006311,1,UK,UK
PAY00000023,O0000023,C05366,2025-01-09 16:46:44,119.6,Wallet,Success,119.6,D003294,IP000932,1,Netherlands,Netherlands
PAY00000024,O0000024,C01381,2026-08-20 03:09:34,268.01,Card,Success,268.01,D009342,IP005632,1,India,India
PAY00000025,O0000025,C04400,2025-06-12 17:54:37,632.96,Bank Transfer,Success,632.96,D007401,IP001772,1,India,India
PAY00000026,O0000026,C02678,2026-04-26 07:18:26,276.97,Card,Success,276.97,D002695,IP005968,1,India,India
PAY00000027,O0000027,C00631,2026-07-19 14:19:23,104.85,UPI,Success,104.85,D008474,IP000563,1,Canada,Canada
PAY00000028,O0000028,C00542,2026-02-15 05:15:56,112.76,Card,Success,112.76,D004594,IP004852,1,USA,USA
PAY00000029,O0000029,C06089,2026-07-11 04:10:14,36.1,Bank Transfer,Success,36.1,D007041,IP003888,1,Canada,Canada
PAY00000030,O0000030,C04949,2026-01-10 08:02:56,125.35,PayPal,Success,125.35,D008413,IP001891,1,Germany,Germany
PAY00000031,O0000031,C05737,2025-12-12 17:14:39,193.47,Bank Transfer,Success,193.47,D003300,IP004649,1,USA,USA
PAY00000032,O0000032,C05501,2025-01-10 10:29:48,250.39,Card,Success,250.39,D001122,IP001371,1,USA,USA
PAY00000033,O0000033,C01084,2026-02-13 09:49:58,20.9,Card,Success,20.9,D003575,IP005499,1,France,France
PAY00000034,O0000034,C01216,2025-07-07 09:47:15,37.56,Bank Transfer,Success,37.56,D009661,IP000388,1,India,India
PAY00000035,O0000035,C02019,2025-12-14 17:03:58,18.96,Card,Success,18.96,D004291,IP000948,1,India,India
PAY00000036,O0000036,C03201,2025-08-10 06:40:34,118.68,Card,Success,118.68,D008116,IP006859,1,USA,USA
PAY00000037,O0000037,C07530,2026-08-03 05:33:10,286.3,PayPal,Success,286.3,D000584,IP001002,1,India,India
PAY00000038,O0000038,C05416,2025-07-01 00:21:26,76.65,Card,Success,76.65,D002437,IP004712,1,UK,UK
PAY00000039,O0000039,C02044,2025-03-09 09:08:59,46.17,Card,Success,46.17,D000690,IP004302,1,India,India
PAY00000040,O0000040,C00464,2025-09-07 12:04:25,133.83,Card,Success,133.83,D003429,IP001280,1,USA,USA
PAY00000041,O0000041,C05490,2025-11-21 13:41:37,29.59,Bank Transfer,Success,29.59,D005225,IP004766,1,UAE,UAE
PAY00000042,O0000042,C05028,2026-07-13 01:29:12,15.54,Card,Success,15.54,D003651,IP002779,1,India,India
PAY00000043,O0000043,C05427,2025-03-09 22:32:01,92.29,Card,Success,92.29,D006303,IP000533,1,Netherlands,Netherlands
PAY00000044,O0000044,C02095,2025-12-09 06:28:45,353.9,UPI,Success,353.9,D002420,IP004792,1,India,India
PAY00000045,O0000045,C04166,2025-09-05 11:39:11,154.13,Card,Success,154.13,D002595,IP003433,1,UK,UK
PAY00000046,O0000046,C02898,2025-11-18 01:16:57,138.05,UPI,Success,138.05,D002801,IP004667,1,India,India
PAY00000047,O0000047,C06554,2025-01-11 02:38:43,644.5,UPI,Success,644.5,D000224,IP002940,1,India,India
PAY00000048,O0000048,C00566,2025-04-21 01:37:54,39.21,Card,Success,39.21,D001293,IP000280,1,USA,USA
PAY00000049,O0000049,C02211,2026-08-21 22:39:24,408.84,Card,Success,408.84,D002812,IP000632,1,Australia,Australia
