product_id,product_name,category,brand,unit_price,product_rating
P00001,Core Classic 0001,Grocery,Core,43.05,4.9
P00002,Orion Pro 0002,Sports,Zenith,11.4,4.1
P00003,Apex Essential 0003,Accessories,Nova,171.12,4.5
P00004,Urban Pro 0004,Books,Prime,81.79,4.7
P00005,Prime Series 0005,Office,Apex,61.18,3.9
P00006,Prime Series 0006,Home & Kitchen,Vertex,133.14,4.3
P00007,Vertex Plus 0007,Electronics,Prime,42.32,4.7
P00008,Prime Pro 0008,Electronics,Orion,27.14,5.0
P00009,Prime Essential 0009,Accessories,Orion,44.78,3.9
P00010,Zenith Series 0010,Electronics,Vertex,138.32,3.5
P00011,Urban Essential 0011,Fashion,Nexa,15.65,4.4
P00012,Nova Max 0012,Home & Kitchen,Orion,136.84,4.2
P00013,Zenith Essential 0013,Beauty,Nexa,10.36,4.1
P00014,Vertex Essential 0014,Electronics,Core,56.55,3.8
P00015,Nova Series 0015,Electronics,Core,86.88,4.6
P00016,Nexa Classic 0016,Beauty,Urban,62.51,3.8
P00017,Nova Max 0017,Beauty,Orion,89.85,3.7
P00018,Urban Plus 0018,Toys,Vertex,31.21,4.0
P00019,Nova Essential 0019,Grocery,Urban,11.13,4.6
P00020,Apex Series 0020,Grocery,Apex,90.07,3.4
P00021,Nova Essential 0021,Grocery,Prime,184.77,3.5
P00022,Urban Classic 0022,Accessories,Orion,30.18,3.6
P00023,Vertex Classic 0023,Electronics,Pulse,64.66,5.0
P00024,Vertex Pro 0024,Accessories,Vertex,16.64,4.3
P00025,Orion Essential 0025,Office,Vertex,15.54,3.5
P00026,Urban Pro 0026,Grocery,Apex,38.55,4.0
P00027,Apex Classic 0027,Electronics,Orion,18.18,4.5
P00028,Orion Plus 0028,Toys,Zenith,38.17,5.0
P00029,Prime Classic 0029,Accessories,Orion,535.2,3.3
P00030,Core Pro 0030,Beauty,Zenith,18.54,3.5
P00031,Nexa Classic 0031,Accessories,Nexa,47.6,3.9
P00032,Urban Essential 0032,Electronics,Vertex,7.19,3.9
P00033,Core Essential 0033,Accessories,Core,56.05,3.9
P00034,Nexa Pro 0034,Books,Nova,18.55,4.0
P00035,Vertex Plus 0035,Beauty,Nexa,45.55,5.0
P00036,Prime Classic 0036,Sports,Zenith,44.46,3.4
P00037,Nova Series 0037,Toys,Vertex,39.67,4.2
P00038,Urban Pro 0038,Office,Core,14.92,4.4
P00039,Nexa Series 0039,Beauty,Pulse,27.11,3.3
P00040,Pulse Plus 0040,Grocery,Zenith,43.27,4.9
P00041,Core Pro 0041,Fashion,Urban,28.13,4.0
P00042,Pulse Series 0042,Home & Kitchen,Nova,123.76,3.5
P00043,Urban Pro 0043,Electronics,Nexa,36.32,5.0
P00044,Orion Max 0044,Books,Zenith,14.32,4.5
P00045,Zenith Pro 0045,Home & Kitchen,Core,51.61,3.8
P00046,Nexa Pro 0046,Grocery,Nova,3.87,4.5
P00047,Zenith Essential 0047,Office,Vertex,204.54,4.3
P00048,Orion Essential 0048,Beauty,Apex,7.44,3.3
P00049,Pulse Essential 0049,Accessories,Apex,78.43,3.3
P00050,Nexa Pro 0050,Beauty,Apex,68.17,4.3
P00051,Pulse Plus 0051,Beauty,Prime,12.65,3.1
P00052,Apex Classic 0052,Grocery,Apex,57.91,4.7
P00053,Nova Essential 0053,Grocery,Vertex,18.82,3.3
P00054,Orion Max 0054,Sports,Apex,30.16,4.6
P00055,Urban Max 0055,Fashion,Zenith,53.45,4.9
P00056,Apex Max 0056,Home & Kitchen,Apex,33.51,4.4
P00057,Core Series 0057,Accessories,Pulse,14.23,2.1
P00058,Apex Series 0058,Accessories,Pulse,50.64,4.7
P00059,Pulse Pro 0059,Sports,Prime,29.02,3.9
P00060,Nexa Max 0060,Grocery,Apex,31.68,4.1
P00061,Apex Max 0061,Toys,Vertex,33.41,3.7
P00062,Vertex Essential 0062,Fashion,Apex,10.43,5.0
P00063,Pulse Series 0063,Sports,Pulse,12.72,4.2
P00064,Orion Pro 0064,Accessories,Vertex,20.6,3.9
P00065,Nova Series 0065,Beauty,Apex,50.64,4.8
P00066,Pulse Series 0066,Fashion,Zenith,15.17,4.6
P00067,Urban Max 0067,Toys,Prime,102.07,3.5
P00068,Pulse Classic 0068,Grocery,Orion,41.97,4.3
P00069,Urban Essential 0069,Sports,Nexa,48.58,4.2
P00070,Prime Max 0070,Grocery,Vertex,25.97,3.3
P00071,Zenith Series 0071,Sports,Vertex,8.32,4.6
P00072,Core Essential 0072,Accessories,Orion,56.49,4.1
P00073,Prime Essential 0073,Toys,Orion,18.27,5.0
P00074,Orion Pro 0074,Sports,Prime,9.14,4.9
P00075,Orion Pro 0075,Accessories,Nova,16.51,4.2
P00076,Core Max 0076,Sports,Prime,32.58,4.1
P00077,Urban Pro 0077,Grocery,Pulse,4.12,3.0
P00078,Zenith Series 0078,Beauty,Pulse,25.86,4.6
P00079,Pulse Plus 0079,Accessories,Orion,86.73,4.1
P00080,Core Classic 0080,Books,Zenith,36.02,3.8
P00081,Apex Series 0081,Books,Urban,103.01,4.1
P00082,Zenith Plus 0082,Fashion,Nexa,24.35,5.0
P00083,Pulse Series 0083,Fashion,Prime,98.81,4.9
P00084,Core Max 0084,Beauty,Urban,10.46,4.8
P00085,Pulse Classic 0085,Electronics,Apex,60.05,3.5
P00086,Apex Pro 0086,Books,Nova,31.75,5.0
P00087,Pulse Essential 0087,Electronics,Apex,118.48,3.8
P00088,Urban Plus 0088,Beauty,Core,24.15,4.5
P00089,Pulse Max 0089,Toys,Vertex,13.57,4.4
P00090,Vertex Series 0090,Books,Orion,55.22,4.0
P00091,Prime Essential 0091,Grocery,Apex,154.13,4.2
P00092,Urban Series 0092,Beauty,Nexa,43.29,3.2
P00093,Nova Essential 0093,Accessories,Apex,33.7,4.1
P00094,Pulse Series 0094,Office,Pulse,11.73,4.0
P00095,Nova Pro 0095,Grocery,Urban,82.07,5.0
P00096,Zenith Classic 0096,Sports,Prime,33.41,4.1
P00097,Orion Pro 0097,Books,Prime,65.76,3.7
P00098,Apex Classic 0098,Sports,Prime,41.8,4.2
P00099,Core Essential 0099,Books,Orion,219.5,3.7
P00100,Urban Series 0100,Electronics,Zenith,21.19,3.3
P00101,Nexa Max 0101,Beauty,Zenith,21.9,4.3
P00102,Pulse Pro 0102,Accessories,Zenith,87.13,4.1
P00103,Apex Series 0103,Beauty,Prime,89.08,4.6
