return_id,order_id,customer_id,return_date,return_reason,refund_amount
R0000001,O0041099,C00628,2026-02-23,Not as Expected,229.85
R0000002,O0001536,C02862,2026-06-09,Late Delivery,184.43
R0000003,O0000368,C04090,2025-10-01,Damaged,248.16
R0000004,O0053520,C05855,2026-02-28,Changed Mind,57.74
R0000005,O0029467,C03016,2026-07-12,Late Delivery,62.55
R0000006,O0047667,C01938,2025-04-22,Late Delivery,20.03
R0000007,O0021899,C00521,2026-05-19,Not as Expected,46.03
R0000008,O0028878,C07540,2025-09-29,Not as Expected,74.5
R0000009,O0054569,C05194,2025-08-07,Changed Mind,33.89
R0000010,O0049798,C00938,2026-03-29,Not as Expected,41.8
R0000011,O0054622,C06978,2025-06-06,Late Delivery,7.12
R0000012,O0040596,C06189,2025-04-30,Late Delivery,14.85
R0000013,O0001149,C06937,2025-03-10,Not as Expected,25.88
R0000014,O0001540,C05019,2026-03-03,Late Delivery,200.42
R0000015,O0057169,C00372,2025-02-03,Changed Mind,23.7
R0000016,O0015860,C02202,2025-11-17,Late Delivery,46.89
R0000017,O0047133,C05073,2026-03-23,Late Delivery,106.45
R0000018,O0017495,C01096,2025-04-22,Not as Expected,23.85
R0000019,O0026006,C03824,2025-09-30,Wrong Item,3.14
R0000020,O0007746,C05675,2026-02-01,Damaged,40.52
R0000021,O0005725,C01172,2025-02-24,Wrong Item,111.11
R0000022,O0007578,C04413,2025-05-17,Changed Mind,80.63
R0000023,O0041761,C05929,2025-08-19,Changed Mind,42.09
R0000024,O0023448,C05053,2025-05-06,Damaged,54.94
R0000025,O0037302,C05263,2026-05-05,Damaged,68.42
R0000026,O0027510,C06492,2026-04-12,Late Delivery,130.19
R0000027,O0049620,C02883,2025-03-06,Wrong Item,60.33
R0000028,O0052868,C07529,2026-02-26,Changed Mind,97.42
R0000029,O0003271,C03221,2025-11-09,Not as Expected,57.28
R0000030,O0055486,C02804,2025-03-27,Changed Mind,476.63
R0000031,O0031136,C06354,2026-01-30,Not as Expected,276.61
R0000032,O0033155,C04085,2025-11-25,Changed Mind,28.56
R0000033,O0044111,C02425,2025-02-03,Not as Expected,110.66
R0000034,O0027993,C07358,2025-04-02,Not as Expected,80.05
R0000035,O0023181,C00884,2026-06-20,Changed Mind,27.89
R0000036,O0020979,C00885,2026-09-03,Late Delivery,28.06
R0000037,O0003585,C01038,2025-12-15,Changed Mind,500.51
R0000038,O0045541,C03166,2025-06-18,Wrong Item,156.78
R0000039,O0007783,C00661,2025-03-09,Wrong Item,335.01
R0000040,O0020671,C01999,2026-03-18,Late Delivery,36.46
R0000041,O0006113,C07386,2026-02-24,Wrong Item,710.42
R0000042,O0027959,C01556,2025-05-12,Late Delivery,190.24
R0000043,O0035474,C01073,2026-09-21,Damaged,57.0
R0000044,O0015017,C06153,2026-05-07,Not as Expected,402.41
R0000045,O0006790,C07828,2026-07-07,Late Delivery,826.32
R0000046,O0004080,C07382,2025-08-09,Wrong Item,20.79
R0000047,O0020372,C01581,2025-04-17,Changed Mind,11.7
R0000048,O0037093,C04425,2025-07-14,Changed Mind,88.5
R0000049,O0024124,C02113,2026-02-24,Damaged,283.22
R0000050,O0036159,C03520,2025-12-13,Late Delivery,24.13
R0000051,O0022996,C07936,2026-02-24,Late Delivery,61.0
R0000052,O0059735,C02739,2025-12-11,Wrong Item,379.77
R0000053,O0007604,C02112,2026-06-09,Changed Mind,8.02
R0000054,O0035274,C07752,2025-10-12,Not as Expected,15.6
R0000055,O0008354,C06963,2026-02-14,Changed Mind,149.13
R0000056,O0045628,C07784,2025-09-26,Late Delivery,49.45
R0000057,O0048922,C01237,2025-09-13,Wrong Item,362.3
R0000058,O0004359,C07706,2025-06-27,Late Delivery,139.32
R0000059,O0036427,C01810,2026-06-06,Damaged,19.13
R0000060,O0042656,C04079,2026-07-26,Not as Expected,264.98
R0000061,O0021516,C03961,2025-10-11,Damaged,13.54
R0000062,O0052013,C04425,2025-12-10,Damaged,67.77
R0000063,O0052730,C04427,2025-09-09,Changed Mind,90.73
R0000064,O0058561,C01687,2026-02-23,Not as Expected,123.49
R0000065,O0013954,C01247,2026-02-10,Damaged,175.79
R0000066,O0022492,C02966,2026-08-17,Wrong Item,15.85
R0000067,O0010680,C05150,2025-08-23,Not as Expected,56.2
R0000068,O0029603,C05063,2026-03-24,Damaged,78.99
R0000069,O0039968,C03417,2026-05-18,Wrong Item,302.1
R0000070,O0028092,C03336,2026-01-23,Damaged,35.67
R0000071,O0014713,C00860,2026-02-20,Wrong Item,92.76
R0000072,O0006137,C01415,2026-07-01,Late Delivery,111.21
R0000073,O0008994,C02855,2026-07-07,Damaged,10.44
R0000074,O0058666,C01113,2025-03-26,Changed Mind,95.98
R0000075,O0057864,C07860,2026-03-20,Not as Expected,139.53
R0000076,O0013021,C04861,2026-03-30,Wrong Item,45.81
R0000077,O0003531,C07772,2026-03-21,Not as Expected,123.69
R0000078,O0021229,C00656,2025-05-20,Damaged,64.71
