review_id,customer_id,order_id,product_id,rating,review_date
REV0000001,C04094,O0051392,P00214,4,2026-07-12
REV0000002,C03193,O0002896,P01297,5,2026-04-11
REV0000003,C01012,O0001842,P00266,3,2025-05-16
REV0000004,C05275,O0026774,P01217,4,2026-08-07
REV0000005,C04561,O0003043,P00439,4,2026-04-30
REV0000006,C01535,O0044363,P01550,3,2025-07-24
REV0000007,C07254,O0028658,P00311,5,2025-11-25
REV0000008,C06374,O0007668,P01876,4,2025-04-11
REV0000009,C05045,O0030499,P01947,4,2025-12-29
REV0000010,C03297,O0022508,P01892,5,2026-07-23
REV0000011,C06307,O0006294,P01472,4,2025-03-30
REV0000012,C07236,O0025789,P01324,1,2025-02-07
REV0000013,C01668,O0019518,P00911,5,2026-03-02
REV0000014,C00512,O0035333,P00937,2,2026-03-29
REV0000015,C04125,O0049973,P00461,4,2026-03-28
REV0000016,C06686,O0046866,P00366,4,2026-03-24
REV0000017,C01575,O0027712,P01566,3,2026-06-11
REV0000018,C03167,O0021322,P00833,5,2025-03-03
REV0000019,C04218,O0022920,P01951,4,2025-03-15
REV0000020,C04572,O0035751,P00999,4,2025-09-02
REV0000021,C05381,O0018277,P01156,3,2026-01-03
REV0000022,C01323,O0023641,P00095,4,2025-02-02
REV0000023,C05290,O0026560,P01410,5,2025-11-03
REV0000024,C03309,O0012644,P01560,5,2025-07-18
REV0000025,C04775,O0027073,P00622,5,2025-06-04
REV0000026,C00673,O0016449,P01904,5,2025-12-16
REV0000027,C06218,O0055142,P00654,5,2026-04-28
REV0000028,C02141,O0019526,P00654,5,2025-04-03
REV0000029,C07569,O0003593,P00832,5,2025-09-17
REV0000030,C06502,O0025545,P01204,3,2025-03-16
REV0000031,C05843,O0030887,P00670,5,2025-07-28
REV0000032,C06659,O0000466,P01796,4,2025-12-31
REV0000033,C05992,O0037327,P00290,4,2025-10-25
REV0000034,C01097,O0052688,P01694,3,2025-03-27
REV0000035,C03105,O0006899,P01434,4,2025-11-10
REV0000036,C07479,O0041152,P00783,5,2026-08-11
REV0000037,C01716,O0000969,P01374,5,2026-06-12
REV0000038,C00182,O0017328,P01216,2,2026-02-10
REV0000039,C02095,O0019365,P00628,4,2026-08-13
REV0000040,C06330,O0008815,P01435,5,2026-06-24
REV0000041,C05531,O0030004,P01600,5,2025-08-12
REV0000042,C02683,O0022950,P01130,4,2025-06-15
REV0000043,C04662,O0016952,P01887,1,2025-01-12
REV0000044,C02584,O0045847,P00761,4,2026-07-13
REV0000045,C07166,O0042375,P01833,5,2025-05-08
REV0000046,C06991,O0003594,P01230,5,2025-12-25
REV0000047,C05750,O0006346,P01877,2,2025-03-28
REV0000048,C06348,O0004230,P01966,4,2026-08-20
REV0000049,C00440,O0041183,P00002,5,2025-02-05
REV0000050,C06641,O0035022,P00563,5,2025-11-21
REV0000051,C02088,O0020860,P01623,5,2025-04-04
REV0000052,C06861,O0008177,P01917,2,2026-07-14
REV0000053,C02906,O0044005,P01867,5,2026-08-09
REV0000054,C00618,O0027333,P01043,4,2025-05-15
REV0000055,C02101,O0015238,P00895,5,2026-05-14
REV0000056,C01130,O0024186,P01720,4,2026-01-26
REV0000057,C07717,O0057113,P00014,3,2025-06-06
REV0000058,C02725,O0058206,P00360,5,2025-10-06
REV0000059,C05083,O0045329,P01674,5,2025-05-24
REV0000060,C07929,O0041937,P01165,4,2025-08-23
REV0000061,C07651,O0020132,P00067,2,2025-01-03
REV0000062,C07732,O0019319,P00971,4,2025-12-17
REV0000063,C02038,O0059461,P01713,4,2025-09-12
REV0000064,C02418,O0020621,P01510,5,2025-09-07
REV0000065,C03515,O0053660,P01934,3,2025-08-01
REV0000066,C03848,O0014035,P00504,4,2025-01-31
REV0000067,C00185,O0013469,P01249,3,2025-11-12
REV0000068,C03025,O0048806,P01686,4,2026-06-28
REV0000069,C03423,O0004846,P01543,5,2025-01-05
REV0000070,C02986,O0018756,P01308,5,2025-09-22
REV0000071,C03080,O0059850,P00863,5,2026-07-04
REV0000072,C02387,O0013239,P01889,5,2025-03-13
REV0000073,C05194,O0058622,P00191,5,2026-02-23
REV0000074,C05343,O0024025,P00122,3,2025-12-30
REV0000075,C07153,O0039154,P01628,5,2025-04-08
REV0000076,C02423,O0053461,P00557,4,2026-01-05
REV0000077,C06162,O0021635,P01404,5,2025-09-01
REV0000078,C07254,O0026409,P01803,5,2025-04-13
REV0000079,C01163,O0040784,P00551,5,2025-01-23
REV0000080,C00546,O0028577,P00401,5,2025-08-04
REV0000081,C05584,O0000934,P01186,5,2025-09-02
REV0000082,C05468,O0031932,P01452,5,2026-04-16
REV0000083,C04864,O0025460,P00168,5,2025-02-03
REV0000084,C05381,O0012918,P00121,4,2026-05-03
REV0000085,C01024,O0046093,P00418,4,2026-05-12
REV0000086,C07438,O0014199,P00132,5,2026-02-19
REV0000087,C04706,O0026263,P01476,5,2026-08-06
REV0000088,C07113,O0018201,P01701,4,2025-04-30
REV0000089,C07625,O0056865,P00173,4,2025-11-10
REV0000090,C05584,O0049435,P01821,5,2026-08-08
REV0000091,C00422,O0045087,P01549,5,2025-04-12
REV0000092,C02613,O0039918,P01427,4,2026-02-26
REV0000093,C04157,O0058222,P01136,4,2025-06-12
REV0000094,C06660,O0038324,P01746,5,2025-07-29
REV0000095,C05834,O0033325,P01675,3,2025-08-09
REV0000096,C05620,O0012564,P01749,4,2026-01-15
REV0000097,C02881,O0023988,P00261,5,2025-04-10
REV0000098,C07271,O0055226,P00096,1,2025-11-16
REV0000099,C04019,O0033731,P00599,4,2025-05-12
REV0000100,C01403,O0055235,P01503,5,2025-12-08
REV0000101,C06021,O0028804,P01608,5,2026-01-25
REV0000102,C03866,O0000210,P00867,2,2025-07-31
REV0000103,C00974,O0010653,P01998,4,2026-04-05
REV0000104,C01629,O0043899,P00550,4,2026-05-12
REV0000105,C05637,O0049617,P01288,5,2025-04-22
REV0000106,C07828,O0056081,P00949,5,2026-03-26
REV0000107,C02818,O0000962,P01640,2,2026-07-24
REV0000108,C00301,O0023924,P01392,4,2025-11-09
REV0000109,C06448,O0026768,P00436,5,2025-02-19
REV0000110,C00893,O0021390,P00014,5,2026-08-16
REV0000111,C04750,O0038856,P00396,5,2025-07-02
REV0000112,C01714,O0012803,P00800,4,2025-03-29
REV0000113,C01117,O0021072,P01785,4,2025-02-04
REV0000114,C03989,O0050728,P00125,4,2026-07-16
REV0000115,C05665,O0034397,P01001,3,2025-11-23
REV0000116,C00543,O0055677,P00205,5,2026-07-14
REV0000117,C03739,O0050489,P01802,3,2025-03-07
REV0000118,C05875,O0028118,P00225,5,2025-05-13
REV0000119,C06879,O0024699,P00907,3,2025-09-25
REV0000120,C04434,O0026534,P01306,5,2025-11-15
REV0000121,C04832,O0042726,P00898,5,2026-05-26
REV0000122,C01870,O0023693,P00446,5,2026-05-25
REV0000123,C00382,O0003840,P00837,5,2025-09-19
REV0000124,C04036,O0029668,P01765,5,2026-04-18
REV0000125,C05916,O0051401,P00650,4,2025-07-25
REV0000126,C06538,O0009713,P01916,4,2025-07-29
REV0000127,C03498,O0059853,P00202,4,2025-03-28
REV0000128,C02018,O0003920,P01831,5,2026-03-01
REV0000129,C07778,O0036554,P01760,4,2025-10-12
REV0000130,C07673,O0053264,P01442,4,2025-01-04
REV0000131,C03208,O0049830,P00876,3,2025-03-20
REV0000132,C07983,O0002238,P00430,4,2026-02-13
REV0000133,C05449,O0056724,P00100,4,2025-08-01
REV0000134,C04238,O0019006,P01333,5,2026-02-21
REV0000135,C06496,O0024627,P01960,3,2026-06-03
REV0000136,C03599,O0011993,P00990,4,2026-08-01
REV0000137,C05614,O0002619,P01430,3,2026-02-01
REV0000138,C05992,O0038680,P01188,2,2025-12-14
REV0000139,C06706,O0053179,P01395,5,2026-04-28
REV0000140,C06969,O0019906,P01013,5,2026-07-13
REV0000141,C02966,O0033586,P01290,4,2026-07-31
REV0000142,C06948,O0052628,P00203,3,2025-01-02
REV0000143,C01579,O0032528,P01232,3,2025-12-04
REV0000144,C03103,O0030597,P00281,4,2025-05-24
REV0000145,C04240,O0017995,P01557,5,2026-04-22
REV0000146,C00080,O0003911,P01319,4,2025-02-12
REV0000147,C03840,O0037481,P00334,5,2025-04-01
REV0000148,C06250,O0058174,P01946,5,2026-04-20
REV0000149,C06648,O0046878,P00758,5,2025-12-07
REV0000150,C01611,O0015508,P01940,4,2025-07-17
REV0000151,C05953,O0001473,P00823,3,2025-09-30
REV0000152,C00145,O0015056,P00298,5,2025-01-14
REV0000153,C02372,O0003293,P00257,5,2025-05-30
REV0000154,C01198,O0059332,P00769,4,2025-05-31
REV0000155,C06839,O0017733,P00003,4,2026-04-15
REV0000156,C03113,O0054116,P00481,4,2026-07-27
REV0000157,C01943,O0009875,P00858,4,2026-08-04
REV0000158,C00612,O0045892,P01484,5,2025-03-28
REV0000159,C03059,O0035612,P00274,5,2025-07-19
REV0000160,C07836,O0007086,P00946,5,2025-10-25
REV0000161,C05453,O0024458,P01683,5,2025-02-08
REV0000162,C07280,O0059372,P01185,5,2025-08-26
REV0000163,C05661,O0039150,P01877,4,2025-02-22
REV0000164,C05297,O0004542,P01679,5,2025-07-04
REV0000165,C05330,O0039954,P01001,3,2026-06-22
REV0000166,C02368,O0059748,P01207,4,2026-07-05
REV0000167,C07516,O0003209,P00520,4,2025-02-18
REV0000168,C07945,O0032853,P00706,3,2026-01-09
REV0000169,C03785,O0018678,P00872,4,2026-05-20
REV0000170,C05734,O0042348,P00626,4,2025-02-17
REV0000171,C04921,O0011552,P01224,4,2025-03-18
REV0000172,C07079,O0051302,P01971,5,2026-05-14
REV0000173,C07274,O0025805,P01643,5,2025-07-29
REV0000174,C01584,O0011603,P00430,4,2025-11-29
REV0000175,C00390,O0017149,P01098,4,2026-07-05
REV0000176,C04433,O0026741,P00344,4,2026-06-17
REV0000177,C06244,O0032989,P00740,5,2026-03-01
REV0000178,C07301,O0006951,P01689,4,2026-05-26
REV0000179,C05440,O0051383,P00546,5,2026-04-20
REV0000180,C06155,O0024142,P00407,5,2025-05-04
REV0000181,C05100,O0025496,P00717,4,2025-11-26
REV0000182,C00030,O0018131,P00375,5,2025-07-04
REV0000183,C00923,O0022866,P01133,5,2025-05-30
REV0000184,C00184,O0007807,P00076,3,2025-11-28
REV0000185,C00389,O0054793,P01508,5,2025-05-22
REV0000186,C07950,O0046662,P01315,2,2026-08-06
REV0000187,C00052,O0057438,P01445,4,2026-03-31
REV0000188,C06129,O0008765,P01128,4,2025-11-18
REV0000189,C03321,O0010212,P00211,1,2025-05-04
REV0000190,C01644,O0042237,P01633,5,2026-07-29
REV0000191,C02925,O0048067,P00763,4,2026-06-27
REV0000192,C06828,O0016980,P01559,4,2025-03-25
REV0000193,C01082,O0018551,P01689,2,2025-07-10
REV0000194,C02156,O0006982,P01350,1,2026-04-05
REV0000195,C06089,O0000029,P00203,3,2026-05-26
REV0000196,C03639,O0008492,P01577,3,2025-02-19
REV0000197,C01474,O0024641,P01804,5,2025-04-06
REV0000198,C03349,O0032304,P00862,4,2026-03-04
REV0000199,C04345,O0041641,P00050,5,2026-03-10
REV0000200,C04033,O0019274,P00785,5,2025-03-03
REV0000201,C07860,O0023517,P00317,4,2025-10-29
REV0000202,C05393,O0028814,P00728,4,2025-05-29
REV0000203,C04327,O0053513,P01663,4,2025-08-25
REV0000204,C00180,O0000241,P01491,4,2026-05-04
REV0000205,C05484,O0045383,P01025,5,2025-10-06
REV0000206,C03181,O0008450,P00976,4,2025-01-20
REV0000207,C03462,O0059350,P01934,5,2025-11-04
REV0000208,C06576,O0002909,P00745,5,2025-11-26
REV0000209,C07154,O0001609,P00568,4,2025-07-02
REV0000210,C04034,O0015050,P00962,5,2025-12-15
REV0000211,C07562,O0009266,P01940,4,2025-11-28
REV0000212,C03840,O0047120,P00236,5,2026-01-02
REV0000213,C06904,O0020768,P01565,3,2025-02-16
REV0000214,C05822,O0028744,P00759,5,2026-07-14
REV0000215,C00899,O0025393,P00508,4,2025-08-08
REV0000216,C05210,O0041644,P01185,2,2025-04-04
REV0000217,C01604,O0040147,P01032,4,2025-01-25
REV0000218,C07424,O0050516,P01647,3,2025-05-11
REV0000219,C01517,O0049985,P00316,2,2026-06-03
REV0000220,C07435,O0013029,P01656,3,2025-08-22
REV0000221,C00067,O0021892,P00812,5,2025-05-29
REV0000222,C04826,O0000602,P01193,4,2026-01-23
REV0000223,C01057,O0033850,P00785,4,2025-06-29
REV0000224,C01798,O0052433,P00425,5,2025-02-26
REV0000225,C03608,O0037121,P00947,5,2025-10-18
REV0000226,C07129,O0034125,P01102,5,2026-02-07
REV0000227,C04853,O0052085,P01013,5,2025-01-14
REV0000228,C07035,O0025005,P00038,4,2025-01-30
REV0000229,C07588,O0052863,P00089,5,2025-07-08
REV0000230,C02875,O0027528,P01556,4,2025-09-24
REV0000231,C03394,O0027340,P00345,5,2026-07-11
REV0000232,C03877,O0024883,P01854,2,2025-09-30
REV0000233,C00973,O0011129,P00897,5,2025-12-19
REV0000234,C03593,O0045872,P01092,5,2025-01-11
REV0000235,C06672,O0031148,P01301,5,2025-12-05
REV0000236,C04158,O0051675,P01083,3,2026-05-10
REV0000237,C02021,O0012344,P00207,4,2025-01-24
REV0000238,C02545,O0007727,P01811,4,2025-11-30
REV0000239,C00787,O0056753,P00859,5,2025-03-29
REV0000240,C06326,O0040213,P00128,5,2025-02-08
REV0000241,C06319,O0057163,P00232,4,2026-08-13
REV0000242,C06092,O0057319,P01228,5,2026-03-09
REV0000243,C07153,O0051939,P01624,4,2025-02-03
REV0000244,C07606,O0011703,P01452,5,2025-04-02
REV0000245,C07099,O0058483,P00158,5,2026-07-24
REV0000246,C03877,O0035807,P01508,4,2026-06-21
REV0000247,C06469,O0016753,P01647,5,2025-05-03
REV0000248,C03143,O0043438,P01293,5,2026-03-22
REV0000249,C00149,O0050650,P01220,5,2025-05-03
REV0000250,C03462,O0011200,P01352,5,2025-02-07
REV0000251,C05758,O0046832,P00482,5,2026-05-04
REV0000252,C06131,O0034652,P01860,4,2026-07-19
REV0000253,C01949,O0025371,P01489,4,2025-09-03
REV0000254,C07922,O0047497,P00119,5,2026-01-12
REV0000255,C01687,O0018518,P00194,4,2025-07-07
REV0000256,C01755,O0051861,P01445,4,2025-10-05
REV0000257,C04805,O0028058,P01798,4,2025-07-15
REV0000258,C04521,O0034464,P01524,5,2025-02-10
REV0000259,C01376,O0029756,P01910,5,2025-06-01
REV0000260,C03217,O0034737,P01287,3,2025-12-14
REV0000261,C01827,O0027966,P00992,4,2025-01-08
REV0000262,C02633,O0030285,P01578,5,2026-05-23
REV0000263,C06268,O0038190,P01989,5,2026-05-10
REV0000264,C04989,O0022860,P01126,5,2026-05-11
REV0000265,C05667,O0052530,P00180,4,2025-10-16
REV0000266,C03347,O0026728,P00066,4,2025-11-30
REV0000267,C00089,O0041139,P01159,5,2025-07-13
REV0000268,C03511,O0041732,P01099,2,2026-03-22
